dates,covid19mobilitytrend_residence
2020-02-15,-3
2020-02-16,-1
2020-02-17,-1
2020-02-18,-1
2020-02-19,-1
2020-02-20,-2
2020-02-21,-1
2020-02-22,0
2020-02-23,-1
2020-02-24,11
2020-02-25,13
2020-02-26,8
2020-02-27,0
2020-02-28,0
2020-02-29,-2
2020-03-01,1
2020-03-02,-2
2020-03-03,-1
2020-03-04,0
2020-03-05,0
2020-03-06,-1
2020-03-07,2
2020-03-08,3
2020-03-09,0
2020-03-10,0
2020-03-11,5
2020-03-12,8
2020-03-13,9
2020-03-14,11
2020-03-15,14
2020-03-16,14
2020-03-17,18
2020-03-18,22
2020-03-19,24
2020-03-20,26
2020-03-21,27
2020-03-22,25
2020-03-23,31
2020-03-24,34
2020-03-25,40
2020-03-26,41
2020-03-27,43
2020-03-28,36
2020-03-29,31
2020-03-30,40
2020-03-31,38
2020-04-01,42
2020-04-02,41
2020-04-03,45
2020-04-04,37
2020-04-05,36
2020-04-06,41
2020-04-07,39
2020-04-08,41
2020-04-09,40
2020-04-10,50
2020-04-11,45
2020-04-12,36
2020-04-13,40
2020-04-14,38
2020-04-15,40
2020-04-16,39
2020-04-17,42
2020-04-18,44
2020-04-19,36
2020-04-20,39
2020-04-21,37
2020-04-22,40
2020-04-23,38
2020-04-24,41
2020-04-25,43
2020-04-26,35
2020-04-27,39
2020-04-28,32
2020-04-29,38
2020-04-30,36
2020-05-01,47
2020-05-02,43
2020-05-03,35
2020-05-04,37
2020-05-05,35
2020-05-06,37
2020-05-07,37
2020-05-08,39
2020-05-09,42
2020-05-10,34
2020-05-11,36
2020-05-12,34
2020-05-13,36
2020-05-14,33
2020-05-15,37
2020-05-16,34
2020-05-17,34
2020-05-18,34
2020-05-19,33
2020-05-20,35
2020-05-21,35
2020-05-22,36
2020-05-23,32
2020-05-24,33
2020-05-25,33
2020-05-26,32
2020-05-27,34
2020-05-28,34
2020-05-29,36
2020-05-30,31
2020-05-31,33
2020-06-01,26
2020-06-02,29
2020-06-03,29
2020-06-04,29
2020-06-05,30
2020-06-06,26
2020-06-07,32
2020-06-08,30
2020-06-09,31
2020-06-10,32
2020-06-11,31
2020-06-12,32
2020-06-13,29
2020-06-14,31
2020-06-15,29
2020-06-16,29
2020-06-17,30
2020-06-18,30
2020-06-19,30
2020-06-20,27
2020-06-21,30
2020-06-22,29
2020-06-23,30
2020-06-24,30
2020-06-25,30
2020-06-26,32
2020-06-27,29
2020-06-28,31
2020-06-29,28
2020-06-30,29
2020-07-01,29
2020-07-02,30
2020-07-03,31
2020-07-04,29
2020-07-05,31
2020-07-06,29
2020-07-07,29
2020-07-08,30
2020-07-09,30
2020-07-10,32
2020-07-11,29
2020-07-12,31
2020-07-13,29
2020-07-14,29
2020-07-15,29
2020-07-16,29
2020-07-17,29
2020-07-18,38
2020-07-19,31
2020-07-20,28
2020-07-21,29
2020-07-22,30
2020-07-23,29
2020-07-24,30
2020-07-25,40
2020-07-26,33
2020-07-27,28
2020-07-28,28
2020-07-29,29
2020-07-30,28
2020-07-31,27
2020-08-01,39
2020-08-02,33
2020-08-03,26
2020-08-04,28
2020-08-05,28
2020-08-06,27
2020-08-07,27
2020-08-08,39
2020-08-09,33
2020-08-10,26
2020-08-11,27
2020-08-12,28
2020-08-13,27
2020-08-14,25
2020-08-15,38
2020-08-16,32
2020-08-17,23
2020-08-18,25
2020-08-19,26
2020-08-20,27
2020-08-21,25
2020-08-22,38
2020-08-23,32
2020-08-24,23
2020-08-25,25
2020-08-26,24
2020-08-27,25
2020-08-28,24
2020-08-29,25
2020-08-30,31
2020-08-31,22
2020-09-01,23
2020-09-02,24
2020-09-03,25
2020-09-04,24
2020-09-05,25
2020-09-06,31
2020-09-07,22
2020-09-08,23
2020-09-09,23
2020-09-10,23
2020-09-11,22
2020-09-12,23
2020-09-13,30
2020-09-14,18
2020-09-15,20
2020-09-16,21
2020-09-17,21
2020-09-18,21
2020-09-19,20
2020-09-20,31
2020-09-21,18
2020-09-22,21
2020-09-23,22
2020-09-24,23
2020-09-25,22
2020-09-26,19
2020-09-27,32
2020-09-28,19
2020-09-29,19
2020-09-30,20
2020-10-01,17
2020-10-02,18
2020-10-03,15
2020-10-04,30
2020-10-05,14
2020-10-06,17
2020-10-07,18
2020-10-08,20
2020-10-09,19
2020-10-10,16
2020-10-11,31
2020-10-12,16
2020-10-13,19
2020-10-14,19
2020-10-15,18
2020-10-16,18
2020-10-17,13
2020-10-18,31
2020-10-19,16
2020-10-20,19
2020-10-21,19
2020-10-22,19
2020-10-23,19
2020-10-24,15
2020-10-25,17
2020-10-26,17
2020-10-27,17
2020-10-28,18
2020-10-29,17
2020-10-30,15
2020-10-31,11
2020-11-01,14
2020-11-02,16
2020-11-03,28
2020-11-04,25
2020-11-05,27
2020-11-06,19
2020-11-07,15
2020-11-08,16
2020-11-09,16
2020-11-10,27
2020-11-11,18
2020-11-12,18
2020-11-13,17
2020-11-14,13
2020-11-15,16
2020-11-16,17
2020-11-17,18
2020-11-18,19
2020-11-19,18
2020-11-20,19
2020-11-21,15
2020-11-22,15
2020-11-23,17
2020-11-24,18
2020-11-25,18
2020-11-26,18
2020-11-27,16
2020-11-28,17
2020-11-29,13
2020-11-30,15
2020-12-01,15
2020-12-02,17
2020-12-03,17
2020-12-04,16
2020-12-05,13
2020-12-06,14
2020-12-07,13
2020-12-08,27
2020-12-09,17
2020-12-10,17
2020-12-11,18
2020-12-12,15
2020-12-13,15
2020-12-14,16
2020-12-15,15
2020-12-16,16
2020-12-17,16
2020-12-18,18
2020-12-19,15
2020-12-20,14
2020-12-21,17
2020-12-22,17
2020-12-23,15
2020-12-24,19
2020-12-25,55
2020-12-26,44
2020-12-27,36
2020-12-28,16
2020-12-29,18
2020-12-30,15
2020-12-31,18
2021-01-01,54
2021-01-02,43
2021-01-03,35
2021-01-04,26
2021-01-05,27
2021-01-06,28
2021-01-07,28
2021-01-08,27
2021-01-09,43
2021-01-10,34
2021-01-11,24
2021-01-12,24
2021-01-13,24
2021-01-14,21
2021-01-15,16
2021-01-16,35
2021-01-17,30
2021-01-18,15
2021-01-19,17
2021-01-20,17
2021-01-21,18
2021-01-22,15
2021-01-23,35
2021-01-24,30
2021-01-25,14
2021-01-26,16
2021-01-27,17
2021-01-28,16
2021-01-29,11
2021-01-30,32
2021-01-31,28
2021-02-01,8
2021-02-02,11
2021-02-03,13
2021-02-04,14
2021-02-05,10
2021-02-06,33
2021-02-07,29
2021-02-08,9
2021-02-09,12
2021-02-10,12
2021-02-11,10
2021-02-12,4
2021-02-13,29
2021-02-14,26
2021-02-15,4
2021-02-16,17
2021-02-17,7
2021-02-18,8
2021-02-19,5
2021-02-20,29
2021-02-21,26
2021-02-22,3
2021-02-23,7
2021-02-24,8
2021-02-25,7
2021-02-26,3
2021-02-27,28
2021-02-28,25
2021-03-01,4
2021-03-02,7
2021-03-03,9
2021-03-04,9
2021-03-05,8
2021-03-06,6
2021-03-07,7
2021-03-08,9
2021-03-09,9
2021-03-10,10
2021-03-11,9
2021-03-12,8
2021-03-13,4
2021-03-14,4
2021-03-15,7
2021-03-16,8
2021-03-17,9
2021-03-18,9
2021-03-19,8
2021-03-20,5
2021-03-21,5
2021-03-22,8
2021-03-23,9
2021-03-24,10
2021-03-25,10
2021-03-26,9
2021-03-27,5
2021-03-28,6
2021-03-29,8
2021-03-30,7
2021-03-31,5
2021-04-01,5
2021-04-02,28
2021-04-03,9
2021-04-04,4
2021-04-05,7
2021-04-06,9
2021-04-07,10
2021-04-08,10
2021-04-09,11
2021-04-10,6
2021-04-11,7
2021-04-12,8
2021-04-13,9
2021-04-14,8
2021-04-15,8
2021-04-16,8
2021-04-17,4
2021-04-18,4
2021-04-19,8
2021-04-20,8
2021-04-21,9
2021-04-22,9
2021-04-23,9
2021-04-24,5
2021-04-25,5
2021-04-26,9
2021-04-27,9
2021-04-28,9
2021-04-29,9
2021-04-30,6
2021-05-01,8
2021-05-02,4
2021-05-03,8
2021-05-04,9
2021-05-05,9
2021-05-06,9
2021-05-07,9
2021-05-08,6
2021-05-09,7
2021-05-10,9
2021-05-11,10
2021-05-12,9
2021-05-13,9
2021-05-14,7
2021-05-15,3
2021-05-16,7
2021-05-17,8
2021-05-18,9
2021-05-19,10
2021-05-20,10
2021-05-21,9
2021-05-22,7
2021-05-23,11
2021-05-24,10
2021-05-25,10
2021-05-26,10
2021-05-27,11
2021-05-28,9
2021-05-29,6
2021-05-30,9
2021-05-31,9
2021-06-01,9
2021-06-02,10
2021-06-03,11
2021-06-04,9
2021-06-05,7
2021-06-06,10
2021-06-07,10
2021-06-08,9
2021-06-09,10
2021-06-10,9
2021-06-11,8
2021-06-12,6
2021-06-13,11
2021-06-14,10
2021-06-15,9
2021-06-16,8
2021-06-17,9
2021-06-18,8
2021-06-19,6
2021-06-20,10
2021-06-21,11
2021-06-22,9
2021-06-23,11
2021-06-24,11
2021-06-25,10
2021-06-26,9
2021-06-27,12
2021-06-28,8
2021-06-29,10
2021-06-30,10
2021-07-01,9
2021-07-02,10
2021-07-03,8
2021-07-04,14
2021-07-05,9
2021-07-06,11
2021-07-07,11
2021-07-08,11
2021-07-09,12
2021-07-10,10
2021-07-11,15
2021-07-12,10
2021-07-13,10
2021-07-14,10
2021-07-15,8
2021-07-16,8
2021-07-17,6
2021-07-18,13
2021-07-19,9
2021-07-20,10
2021-07-21,10
2021-07-22,10
2021-07-23,11
2021-07-24,9
2021-07-25,16
2021-07-26,11
2021-07-27,10
2021-07-28,10
2021-07-29,10
2021-07-30,9
2021-07-31,4
2021-08-01,11
2021-08-02,9
2021-08-03,10
2021-08-04,10
2021-08-05,9
2021-08-06,9
2021-08-07,6
2021-08-08,13
2021-08-09,10
2021-08-10,8
2021-08-11,9
2021-08-12,9
2021-08-13,7
2021-08-14,3
2021-08-15,5
2021-08-16,8
2021-08-17,8
2021-08-18,9
2021-08-19,10
2021-08-20,9
2021-08-21,5
2021-08-22,7
2021-08-23,9
2021-08-24,10
2021-08-25,10
2021-08-26,10
2021-08-27,9
2021-08-28,6
2021-08-29,6
2021-08-30,9
2021-08-31,8
2021-09-01,8
2021-09-02,8
2021-09-03,8
2021-09-04,6
2021-09-05,6
2021-09-06,8
2021-09-07,8
2021-09-08,8
2021-09-09,8
2021-09-10,8
2021-09-11,6
2021-09-12,6
2021-09-13,8
2021-09-14,8
2021-09-15,8
2021-09-16,7
2021-09-17,7
2021-09-18,6
2021-09-19,6
2021-09-20,8
2021-09-21,8
2021-09-22,10
2021-09-23,9
2021-09-24,9
2021-09-25,6
2021-09-26,6
2021-09-27,9
2021-09-28,8
2021-09-29,8
2021-09-30,7
2021-10-01,6
2021-10-02,4
2021-10-03,5
2021-10-04,8
2021-10-05,8
2021-10-06,8
2021-10-07,9
2021-10-08,9
2021-10-09,6
2021-10-10,7
2021-10-11,8
2021-10-12,8
2021-10-13,8
2021-10-14,7
2021-10-15,6
2021-10-16,4
2021-10-17,4
2021-10-18,7
2021-10-19,7
2021-10-20,7
2021-10-21,8
2021-10-22,8
2021-10-23,5
2021-10-24,6
2021-10-25,8
2021-10-26,8
2021-10-27,8
2021-10-28,8
2021-10-29,6
2021-10-30,2
2021-10-31,3
2021-11-01,5
2021-11-02,6
2021-11-03,17
2021-11-04,15
2021-11-05,20
2021-11-06,8
2021-11-07,7
2021-11-08,8
2021-11-09,5
2021-11-10,21
2021-11-11,7
2021-11-12,6
