s_no,title,body,industry,Region,source,time
1,Procurement of 0687-234020230071/03 Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects(1),"0687-234020230071/03,Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects",Health ,ChinaSichuan,Currency,10-27-2023
2,Procurement of 0687-234020230071/04 Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects(1),"0687-234020230071/04,Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects",Health ,ChinaSichuan,Currency,10-27-2023
3,Procurement of 0687-234020230071/02 Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects(1),"0687-234020230071/02,Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects",Health ,ChinaSichuan,Currency,10-27-2023
4,Procurement of 0613-234024165101 Energy flow data acquisition system(2),"0613-234024165101,Energy flow data acquisition system",Professional Technical Services,ChinaShanghai,Currency,10-27-2023
5,Procurement of 0687-234020230071/01 Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects(1),"0687-234020230071/01,Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects",Health ,ChinaSichuan,Currency,10-27-2023
6,"Procurement of 3230-234000110023 Lanzhou Institute of Biological Products Co. , Ltd. . Scale procurement project(2)","3230-234000110023,Lanzhou Institute of Biological Products Co. , Ltd. . Scale procurement project",Research and Experimental Development,ChinaGansu,Currency,10-27-2023
7,"Procurement of 0730-234011SZ0366/01 GreaTech Substrates Co., Ltd. Project-Blind Hole Inspection Machine(1)","0730-234011SZ0366/01,GreaTech Substrates Co., Ltd. Project-Blind Hole Inspection Machine","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaGuangdong,Currency,10-27-2023
8,Procurement of 1200-234GB2023018 Fully automatic blood type analyzer(1),"1200-234GB2023018,Fully automatic blood type analyzer",Health ,ChinaHainan,Currency,10-27-2023
9,Procurement of 0730-234011SZ0350/03 NanTong SCC Project -Direct Imaging Machine(1),"0730-234011SZ0350/03,NanTong SCC Project -Direct Imaging Machine","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-27-2023
10,Procurement of 0664-2340SUMECK38 Raw material synthesis furnace(1),"0664-2340SUMECK38,Raw material synthesis furnace","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaZhejiang,Currency,10-27-2023
11,Procurement of 1289-234023ZB1481 Procurement of laser annealing equipment for Yandong Group(2),"1289-234023ZB1481,Procurement of laser annealing equipment for Yandong Group",Manufacture of Electrical Machinery and Apparatus ,ChinaBeijing,Currency,10-27-2023
12,Procurement of 0720-2340zbzx0225 extrusion and pelletizing unit(2),"0720-2340zbzx0225,extrusion and pelletizing unit","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaGuangxi,Currency,10-27-2023
13,"Procurement of 0655-2341NIT2005N Procurement and Installation Project of Flash Thermal Conductivity Tester for Ningbo Innovation Research Institute, Beijing University of AeronauticsandAstronautics(1)","0655-2341NIT2005N,Procurement and Installation Project of Flash Thermal Conductivity Tester for Ningbo Innovation Research Institute, ",Education ,ChinaZhejiang,Currency,10-27-2023
14,Procurement of 0720-2340zbzx0224 Peroxide Dosing Pumps & Solvent Flushing Pump(2),"0720-2340zbzx0224,Peroxide Dosing Pumps & Solvent Flushing Pump","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaGuangxi,Currency,10-27-2023
15,Procurement of 0720-2340zbzx0223 Vinyl acetate injection pump(2),"0720-2340zbzx0223,Vinyl acetate injection pump","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaGuangxi,Currency,10-27-2023
16,Procurement of 0866-2340SXQY2016 Purchase of bolter miner for Shaanxi Coal Group Ningtiaota Mining Co. Ltd.(1),"0866-2340SXQY2016,Purchase of bolter miner for Shaanxi Coal Group Ningtiaota Mining Co. Ltd.",Coal Mining and Dressing,ChinaShaanxi,Currency,10-27-2023
17,Procurement of 0730-234011020148/02 CAN network diagnostic test tool chain(1),"0730-234011020148/02,CAN network diagnostic test tool chain","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaShanghai,Currency,10-27-2023
18,Procurement of 0834-2341SH23A424 MRI compatible anesthesia machine(1),"0834-2341SH23A424,MRI compatible anesthesia machine",Research and Experimental Development,ChinaShanghai,Currency,10-27-2023
19,Procurement of 2947-234hs2023g03 Purchase of 5 magnetic resonance spectrometers for West Lake University(1),"2947-234hs2023g03,Purchase of 5 magnetic resonance spectrometers for West Lake University",Professional Technical Services,ChinaZhejiang,Currency,10-27-2023
20,Procurement of 3807-234KRJDEY014 Jilin University Second Hospital Fundus Wide Angle Camera Procurement Project(2),"3807-234KRJDEY014,Jilin University Second Hospital Fundus Wide Angle Camera Procurement Project",Health ,ChinaJilin,Currency,10-27-2023
21,Procurement of 0720-2340zbzx0192 High pressure electric throttle valve(1),"0720-2340zbzx0192,High pressure electric throttle valve",Petroleum and Natural Gas Extraction,ChinaXinjiang,Currency,10-27-2023
22,Procurement of 0854-234HNWXZB045 ICB Procurement of Medical Equipment(2),"0854-234HNWXZB045,ICB Procurement of Medical Equipment",Health ,ChinaHenan,Currency,10-27-2023
23,Procurement of 0729-234OIT572277/01 Dielectric film deposition system(1),"0729-234OIT572277/01, Dielectric film deposition system",Research and Experimental Development,ChinaBeijing,Currency,10-27-2023
24,Procurement of 0748-2340CA1066IK reference information in Chinese(1),"0748-2340CA1066IK,reference information in Chinese",Manufacture of Special-purpose Machinery,ChinaBeijing,Currency,10-27-2023
25,Procurement of 1257-234BLKJC2311 Procurement of Special Vehicles for Xinjiang Barkol Civil Airport Project (Second Bid Section)(1),"1257-234BLKJC2311,Procurement of Special Vehicles for Xinjiang Barkol Civil Airport Project (Second Bid Section)",Water Transport,ChinaXinjiang,Currency,10-27-2023
26,Procurement of 1257-234BLKJC2310 Procurement of Special Vehicles for Xinjiang Balikun Civil Airport Project (Section 1)(1),"1257-234BLKJC2310,Procurement of Special Vehicles for Xinjiang Balikun Civil Airport Project (Section 1)",Water Transport,ChinaXinjiang,Currency,10-27-2023
27,"Procurement of 0721-2340035B5239 Jiangxi XISCO-WISDRI New Material Co., Ltd. Added 4 # Rolling Mill Project(2)","0721-2340035B5239,Jiangxi XISCO-WISDRI New Material Co., Ltd. Added 4 # Rolling Mill Project",Smelting and Pressing of Ferrous Metals,ChinaJiangxi,Currency,10-27-2023
28,Procurement of 5243-234CQZT00003 Procurement project of lithium-ion battery separator small cutting equipment(2),"5243-234CQZT00003,Procurement project of lithium-ion battery separator small cutting equipment",Manufacture of Rubber and Plastic Products,ChinaChongqing,Currency,10-27-2023
29,Procurement of 0712-234022303114 Liquid Chromatography-mass Spectrometry 1 Set for Sinopec Jinling Petrochemical Company(2),"0712-234022303114,Liquid Chromatography-mass Spectrometry 1 Set for Sinopec Jinling Petrochemical Company","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaJiangsu,Currency,10-26-2023
30,Procurement of 0701-234101140167 Centralized procurement of Positron Emission Magnetic Resonance Imaging System (PET/MR) in 2023 for International Health Exchange and Cooperation Center NHC PRC (1),"0701-234101140167,Centralized procurement of Positron Emission Magnetic Resonance Imaging System (PET/MR) in 2023 ",Health ,ChinaBeijing,Currency,10-26-2023
31,"Procurement of 4197-2340SHJT0002/32 Construction Project of Special Process Production Line of GTA Semiconductor Co., Ltd(1)","4197-2340SHJT0002/32,Construction Project of Special Process Production Line of GTA Semiconductor Co., Ltd","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaShanghai,Currency,10-26-2023
32,"Procurement of 0712-234022303105 Control Butterfly Valve 1 Set for Sinopec Nanjing Chemical Industries Co., Ltd.(2)","0712-234022303105,Control Butterfly Valve 1 Set for Sinopec Nanjing Chemical Industries Co., Ltd.","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaJiangsu,Currency,10-26-2023
33,Procurement of 0811-234DSITC2381 Mobile o-arm x-ray machine(1),"0811-234DSITC2381,Mobile o-arm x-ray machine",Health ,ChinaShanghai,Currency,10-26-2023
34,Procurement of 0811-234DSITC2380 Medical angiography x-ray system(1),"0811-234DSITC2380,Medical angiography x-ray system",Health ,ChinaShanghai,Currency,10-26-2023
35,Procurement of 0664-2340SUMECK36 Rapier loom(1),"0664-2340SUMECK36,Rapier loom",Textile Industry,ChinaTianjin,Currency,10-26-2023
36,Procurement of 0664-2340SUMECK31 Automatic winder(2),"0664-2340SUMECK31,Automatic winder",Textile Industry,ChinaZhejiang,Currency,10-26-2023
37,Procurement of 4472-234SCJXGJ111/02 Bronchoscopic surgical system(1),"4472-234SCJXGJ111/02,Bronchoscopic surgical system",Health ,ChinaSichuan,Currency,10-26-2023
38,Procurement of 4472-234SCJXGJ003/02 Color Doppler ultrasound instrument(1),"4472-234SCJXGJ003/02,Color Doppler ultrasound instrument",Health ,ChinaSichuan,Currency,10-26-2023
39,Procurement of 4472-234SCJXGJ111/01 Laparoscopic surgical system(1),"4472-234SCJXGJ111/01,Laparoscopic surgical system",Health ,ChinaSichuan,Currency,10-26-2023
40,Procurement of 4472-234SCJXGJ003/01 Color Doppler ultrasound system(1),"4472-234SCJXGJ003/01,Color Doppler ultrasound system",Health ,ChinaSichuan,Currency,10-26-2023
41,"Procurement of 0623-2340J1110309 Yixing CRRC Times Semiconductor Co., LTD. Metal wet etching equipment project(1)","0623-2340J1110309,Yixing CRRC Times Semiconductor Co., LTD. Metal wet etching equipment project","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-26-2023
42,"Procurement of 0623-2340J1110310 Yixing CRRC Times Semiconductor Co., LTD. Ultra-high energy injection machine project(1)","0623-2340J1110310,Yixing CRRC Times Semiconductor Co., LTD. Ultra-high energy injection machine project","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-26-2023
