dates,covid19mobilitytrend_residence
2020-02-15,1
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,-1
2020-02-21,1
2020-02-22,0
2020-02-23,-1
2020-02-24,-2
2020-02-25,13
2020-02-26,14
2020-02-27,10
2020-02-28,6
2020-02-29,3
2020-03-01,3
2020-03-02,4
2020-03-03,4
2020-03-04,4
2020-03-05,5
2020-03-06,5
2020-03-07,4
2020-03-08,4
2020-03-09,4
2020-03-10,5
2020-03-11,4
2020-03-12,12
2020-03-13,11
2020-03-14,11
2020-03-15,15
2020-03-16,16
2020-03-17,17
2020-03-18,19
2020-03-19,20
2020-03-20,16
2020-03-21,14
2020-03-22,28
2020-03-23,23
2020-03-24,23
2020-03-25,23
2020-03-26,25
2020-03-27,20
2020-03-28,19
2020-03-29,23
2020-03-30,24
2020-03-31,24
2020-04-01,25
2020-04-02,28
2020-04-03,22
2020-04-04,22
2020-04-05,25
2020-04-06,25
2020-04-07,30
2020-04-08,30
2020-04-09,33
2020-04-10,23
2020-04-11,25
2020-04-12,28
2020-04-13,29
2020-04-14,30
2020-04-15,30
2020-04-16,33
2020-04-17,24
2020-04-18,25
2020-04-19,29
2020-04-20,29
2020-04-21,28
2020-04-22,29
2020-04-23,31
2020-04-24,26
2020-04-25,28
2020-04-26,32
2020-04-27,33
2020-04-28,32
2020-04-29,33
2020-04-30,35
2020-05-01,25
2020-05-02,27
2020-05-03,31
2020-05-04,32
2020-05-05,33
2020-05-06,34
2020-05-07,35
2020-05-08,25
2020-05-09,25
2020-05-10,28
2020-05-11,43
2020-05-12,43
2020-05-13,43
2020-05-14,46
2020-05-15,33
2020-05-16,36
2020-05-17,41
2020-05-18,42
2020-05-19,42
2020-05-20,42
2020-05-21,45
2020-05-22,32
2020-05-23,36
2020-05-24,42
2020-05-25,42
2020-05-26,43
2020-05-27,41
2020-05-28,44
2020-05-29,31
2020-05-30,36
2020-05-31,31
2020-06-01,31
2020-06-02,32
2020-06-03,32
2020-06-04,34
2020-06-05,25
2020-06-06,27
2020-06-07,31
2020-06-08,31
2020-06-09,31
2020-06-10,31
2020-06-11,33
2020-06-12,24
2020-06-13,26
2020-06-14,29
2020-06-15,30
2020-06-16,31
2020-06-17,31
2020-06-18,33
2020-06-19,24
2020-06-20,25
2020-06-21,26
2020-06-22,26
2020-06-23,26
2020-06-24,26
2020-06-25,28
2020-06-26,21
