0,1,2,3,4,5,6,7,8
,,,,,,,,
,,,,,,,,
Personal income:, ,,,,,,,
     Current dollars,0.5,0.5,0.3,0.4,0.7,,,
Disposable personal income:, ,,,,,,,
     Current dollars,0.6,0.4,0.3,0.3,0.7,,,
     Chained (2012) dollars,-0.4 ,0.5,0.1,0.0,0.4,,,
Personal consumption expenditures (PCE):, ,,,,,,,
     Current dollars,1.2,-0.2 ,0.7,0.6,0.8,,,
     Chained (2012) dollars,0.2,-0.1 ,0.4,0.3,0.5,,,
Price indexes:, ,,,,,,,
     PCE,1.0,-0.1 ,0.3,0.3,0.3,,,
"     PCE, excluding food and energy",0.6,0.1,0.5,0.5,0.2,,,
Price indexes:,Percent change from month one year ago,,,,,,,
     PCE,7.0,6.4,6.2,6.3,6.0,,,
"     PCE, excluding food and energy",5.0,4.7,4.9,5.2,5.0,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Personal income:, ,,,,,,,
     Current dollars,84.0,74.4,0.4,0.3,78.9,88.4,0.4,0.4
Disposable personal income:, ,,,,,,,
     Current dollars,84.4,61.3,0.5,0.3,71.3,59.3,0.4,0.3
     Chained (2012) dollars,28.7,10.0,0.2,0.1,7.2,-3.6 ,0.0,0.0
Personal consumption expenditures:, ,,,,,,,
     Current dollars,96.8,113.2 ,0.6,0.7,113.0,110.1,0.6,0.6
     Chained (2012) dollars,41.4,54.4,0.3,0.4,44.0,40.3,0.3,0.3
,,,,,,,,
,,,,,,,,
December 2022,"January 27, 2023",,,,,,,
January 2023,"February 24, 2023",,,,,,,
February 2023,"March 31, 2023",,,,,,,
March 2023,"April 28, 2023",,,,,,,
April 2023,"May 26, 2023",,,,,,,
May 2023,"June 30, 2023",,,,,,,
June 2023,"July 28, 2023",,,,,,,
July 2023,"August 31, 2023",,,,,,,
August 2023,"September 29, 2023",,,,,,,
September 2023,"October 27, 2023",,,,,,,
October 2023,"November 30, 2023",,,,,,,
November 2023,"December 22, 2023",,,,,,,
