title,description,link
Satellites Help Improve Crop Yields in India,Satellites provide crucial information for researchers to monitor and help improve agricultural productivity in India.,www.earthdata.nasa.gov/learn/articles/satellites-help-improve-crop-yields-india
Fires and Smoke in India and Pakistan,"Image captured on Nov 1, 2022 by the VIIRS instrument aboard the joint NASA/NOAA Suomi NPP satellite.",www.earthdata.nasa.gov/worldview/worldview-image-archive/Fires-India-Pakistan-1-Nov-2022
"Brahmaputra River, India","Image captured on 9 January 2017 by the MODIS instrument, aboard the Terra satellite.",www.earthdata.nasa.gov/worldview/worldview-image-archive/brahmaputra-river-india
Fires in Northwest India,"Image captured on 26 October 2016 by the Visible Infrared Imaging Radiometer Suite (VIIRS) instrument, aboard the joint NASA/NOAA Suomi National Polar-orbiting Partnership (Suomi NPP) satellite.",www.earthdata.nasa.gov/worldview/worldview-image-archive/fires-in-northwest-india
"High Aerosol Index over Punjab, India","Image captured Nov. 1, 2021, by the VIIRS instrument aboard the joint NASA/NOAA Suomi NPP satellite.",www.earthdata.nasa.gov/worldview/worldview-image-archive/high-aerosol-index-over-punjab-india
Tropical Cyclone Vardah approaching India,"Image captured on 11 December 2016 by the VIIRS instrument, aboard the joint NASA/NOAA Suomi NPP satellite.",www.earthdata.nasa.gov/worldview/worldview-image-archive/tropical-cyclone-vardah-approaching-india
Fires and Smoke in Northern India,"Image captured on 13 November 2017, by the VIIRS instrument, aboard the joint NASA/NOAA Suomi NPP satellite.",www.earthdata.nasa.gov/worldview/worldview-image-archive/fires-and-smoke-in-northern-india
High Aerosol Index Over Northern India,"Image captured on 9 November 2020, by the OMPS instrument, aboard the joint NASA/NOAA Suomi NPP satellite.",www.earthdata.nasa.gov/worldview/worldview-image-archive/high-aerosol-index-over-northern-india
High Aerosol Optical Depth over Northern India,"Image captured on 24 December 2018, by the MODIS instrument, aboard the Terra satellite.",www.earthdata.nasa.gov/worldview/worldview-image-archive/high-aerosol-optical-depth-over-northern-india
Smoke and fires in northwest India—November 2015,"Image captured on 9 November 2015 by the MODIS instrument, aboard the Aqua satellite.",www.earthdata.nasa.gov/worldview/worldview-image-archive/smoke-and-fires-in-northwest-india
