,Tender_Headings,Industry,Region,Source
0,Procurement of 1200-204GB2020070/03 Tenders invited for laboratory facilities and equipment of tropical crops and southern breeding(1),Health ,ChinaHainan,Currency
1,Procurement of 1200-204GB2020070/02 Tenders invited for laboratory facilities and equipment of tropical crops and southern breeding(1),Health ,ChinaHainan,Currency
2,Procurement of 1200-204GB2020070/01 Tenders invited for laboratory facilities and equipment of tropical crops and southern breeding(1),Health ,ChinaHainan,Currency
3,Procurement of 0826-204201127002 Tenders invited for signalling system for Phase I of Shaoxing Urban Rail Transit Line 2(1),Railway Transport,ChinaZhejiang,Currency
4,Procurement of 2379-204Y19240ZBP Three Tenders for Reconstruction and Expansion Project of Surface Water Plant (Centrifugal Pump) of Hongxing Reservoir in Suihua.(2),Management of Public Facilities ,ChinaHeilongjiang,Currency
5,"Procurement of 0809-2040GZI14033/03 Precise dew point instrument procurement project of the Fifth Institute of electronics, Ministry of industry and information technology(1)New TendersTime：2020-04-29",Research and Experimental Development,ChinaGuangdong,Currency
6,Procurement of 1700-1940JJBH1145/04 Integrated chlor-alkali and hydrogen peroxide transmitter device procurement tenders(1),Manufacture of Raw Chemical Materials and Chemical Products,ChinaTianjin,Currency
7,Procurement of 1700-1940JJBH1145/03 Integrated chlor-alkali and hydrogen peroxide transmitter device procurement tenders(1),Manufacture of Raw Chemical Materials and Chemical Products,ChinaTianjin,Currency
8,Procurement of 1700-1940JJBH1145/02 Integrated chlor-alkali and hydrogen peroxide transmitter device procurement tenders(1),Manufacture of Raw Chemical Materials and Chemical Products,ChinaTianjin,Currency
9,Procurement of 1700-1940JJBH1145/01 Integrated chlor-alkali and hydrogen peroxide transmitter device procurement tenders(1),Manufacture of Raw Chemical Materials and Chemical Products,ChinaTianjin,Currency
