Unnamed: 0_level_0,2022,2022,2023,2023,2023
Unnamed: 0_level_1,Nov.,Dec.,Jan.,Feb.,Mar.
Unnamed: 0_level_2,Percent change from preceding month,Percent change from preceding month,Percent change from preceding month,Percent change from preceding month,Percent change from preceding month
Personal income:,,,,,
Current dollars,0.4,0.3,0.6,0.3,0.3
Disposable personal income:,,,,,
Current dollars,0.6,0.4,2.1,0.5,0.4
Chained (2012) dollars,0.4,0.2,1.5,0.2,0.3
Personal consumption expenditures (PCE):,,,,,
Current dollars,-0.2,0.0,2.0,0.1,0.0
Chained (2012) dollars,-0.4,-0.2,1.4,-0.2,0.0
Price indexes:,,,,,
PCE,0.2,0.2,0.6,0.3,0.1
"PCE, excluding food and energy",0.2,0.4,0.6,0.3,0.3
Price indexes:,Percent change from month one year ago,Percent change from month one year ago,Percent change from month one year ago,Percent change from month one year ago,Percent change from month one year ago
PCE,5.7,5.3,5.4,5.1,4.2
"PCE, excluding food and energy",4.8,4.6,4.7,4.7,4.6
