title,description,link
User Profile: Dr. Steven Massie,Aerosols have a huge impact on climate and human health. Dr. Steven Massie uses remotely-sensed data to better understand these impacts and improve how aerosols are detected by Earth observing satellites.,https://www.earthdata.nasa.gov/learn/data-user-profiles/user-profile-dr-steven-massie
The Sundarbans,"Image captured on 24 February 2018, by the MODIS instrument, aboard the Aqua satellite.",https://www.earthdata.nasa.gov/worldview/worldview-image-archive/the-sundarbans
EOSDIS New Datasets: November 2017,,https://www.earthdata.nasa.gov/eosdis/eosdis-data-news-archive/eosdis-data-news-november-2017
Squeezing Water from Rock,Studying modern earthquakes that produce liquefaction can help better interpret the geologic record of liquefaction during past events.,https://www.earthdata.nasa.gov/learn/sensing-our-planet/squeezing-water-from-rock
User Profile: Dr. Brian Mapes,"Who uses NASA Earth science data? Dr. Brian Mapes, to study large-scale weather and climate processes.",https://www.earthdata.nasa.gov/learn/data-user-profiles/user-profile-dr-brian-mapes
User Profile: Dr. Faisal Hossain,"For the people of Asia and Southeast Asia, water is integral to their livelihood. Dr. Hossain uses NASA Earth observing data to improve water management and accelerate economic development in these regions.",https://www.earthdata.nasa.gov/learn/data-user-profiles/user-profile-dr-faisal-hossain
,,https://www.earthdata.nasa.gov/topics/atmosphere/weather-events/monsoons
And the Winners Are . . .,See who took home top honors in the world’s largest global hackathon.,https://www.earthdata.nasa.gov/news/2020-space-apps-challenge-winners
When the Earth Moved Kashmir,Science and relief efforts come together in the aftermath of the 2005 Kashmir earthquake.,https://www.earthdata.nasa.gov/learn/sensing-our-planet/when-the-earth-moved-kashmir
Worldview Snapshots Links to Rapid Response Subsets,"To assist in the transition from NASA's Rapid Response Subsets, this list of links is provided for users to go to the corresponding area in Worldview Snapshots.",https://www.earthdata.nasa.gov/worldview-snapshots-links-rapid-response-subsets
Karakoram Mountain Range,"Image captured on 29 April 2018, by the MODIS instrument, aboard the Terra satellite.",https://www.earthdata.nasa.gov/worldview/worldview-image-archive/karakoram-mountain-range
Tropical Cyclone Tauktae,"Image captured on 17 May 2021, by the VIIRS instrument, aboard the joint NASA/NOAA Suomi NPP satellite.",https://www.earthdata.nasa.gov/worldview/worldview-image-archive/tropical-cyclone-tauktae
Tropical Cyclone Amphan in the Bay of Bengal,"Image captured on 18 May 2020 at 12:10 UTC, by the AHI instrument, aboard the Himawari-8 satellite.",https://www.earthdata.nasa.gov/worldview/worldview-image-archive/tropical-cyclone-amphan-in-the-bay-of-bengal
EOSDIS New Datasets: March 2018,,https://www.earthdata.nasa.gov/eosdis/eosdis-data-news-archive/eosdis-data-news-march-2018
EOSDIS New Datasets: April 2018,,https://www.earthdata.nasa.gov/eosdis/eosdis-data-news-archive/eosdis-data-news-april-2018
