web-scraper-order,web-scraper-start-url,single,single-href,title,graph,buyers-src,suppliers,market analysis,search,download,indicators,transparency,integrity
"1661155895-16","https://opentender.eu/start&page[start-at-it]","Italy","https://opentender.eu/it?lang=en","Tenders per Year","Nr. of Tenders
	
			
				
		
			
		
			
				2009
				2009
			
				2010
				2010
			
				2011
				2011
			
				2012
				2012
			
				2013
				2013
			
				2014
				2014
			
				2015
				2015
			
				2016
				2016
			
				2017
				2017
			
				2018
				2018
			
				2019
				2019
			
				2020
				2020
			
				2021
				2021
			
				2022
				2022
			
		
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
	
			
		Year
	
		
	
				
		
			
		
			
				0
				
					0
				
			
				500000
				
					500,000
				
			
				1000000
				
					1.0 Million
				
			
				1500000
				
					1.5 Million
				
			
				2000000
				
					2.0 Million
				
			
				2500000
				
					2.5 Million
				
			
				3000000
				
					3.0 Million","https://cartodb-basemaps-c.global.ssl.fastly.net/light_all/5/15/11.png","+−Leaflet | Map tiles by Carto, under CC BY 3.0. Data by OpenStreetMap, under ODbL.","Data overview
					Market Analysis
					This dashboard provides overview of public procurement markets, helping buyers and bidders to tender more effectively.","Search and Find
					Search
					In this section you can search in the data by criteria of your interest. The results are downloadable for detailed examination.","Download data
					Download
					Want to work with the data? You can download all the data this page is built on.","Indicators
					Administrative Capacity
					This dashboard allows you to analyse and benchmark buyers' administrative capacity.","Indicators
					Transparency
					This dashboard allows you to analyse and benchmark the degree of transparency in public procurement tenders.","Indicators
					Integrity
					This dashboard allows you to analyse and benchmark public procurement integrity risks."
"1661155867-8","https://opentender.eu/start&page[start-at-it]","Portugal","https://opentender.eu/pt?lang=en","Tenders per Year","Nr. of Tenders
	
			
				
		
			
		
			
				2009
				2009
			
				2010
				2010
			
				2011
				2011
			
				2012
				2012
			
				2013
				2013
			
				2014
				2014
			
				2015
				2015
			
				2016
				2016
			
				2017
				2017
			
				2018
				2018
			
				2019
				2019
			
				2020
				2020
			
				2021
				2021
			
				2022
				2022
			
		
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
	
			
		Year
	
		
	
				
		
			
		
			
				0
				
					0
				
			
				20000
				
					20,000
				
			
				40000
				
					40,000
				
			
				60000
				
					60,000
				
			
				80000
				
					80,000
				
			
				100000
				
					100,000
				
			
				120000
				
					120,000
				
			
				140000
				
					140,000","https://cartodb-basemaps-c.global.ssl.fastly.net/light_all/5/15/11.png","+−Leaflet | Map tiles by Carto, under CC BY 3.0. Data by OpenStreetMap, under ODbL.","Data overview
					Market Analysis
					This dashboard provides overview of public procurement markets, helping buyers and bidders to tender more effectively.","Search and Find
					Search
					In this section you can search in the data by criteria of your interest. The results are downloadable for detailed examination.","Download data
					Download
					Want to work with the data? You can download all the data this page is built on.","Indicators
					Administrative Capacity
					This dashboard allows you to analyse and benchmark buyers' administrative capacity.","Indicators
					Transparency
					This dashboard allows you to analyse and benchmark the degree of transparency in public procurement tenders.","Indicators
					Integrity
					This dashboard allows you to analyse and benchmark public procurement integrity risks."
"1661155871-10","https://opentender.eu/start&page[start-at-it]","Norway","https://opentender.eu/no?lang=en","Tenders per Year","Nr. of Tenders
	
			
				
		
			
		
			
				2009
				2009
			
				2010
				2010
			
				2011
				2011
			
				2012
				2012
			
				2013
				2013
			
				2014
				2014
			
				2015
				2015
			
				2016
				2016
			
				2017
				2017
			
				2018
				2018
			
				2019
				2019
			
				2020
				2020
			
				2021
				2021
			
				2022
				2022
			
		
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
	
			
		Year
	
		
	
				
		
			
		
			
				0
				
					0
				
			
				2000
				
					2,000
				
			
				4000
				
					4,000
				
			
				6000
				
					6,000
				
			
				8000
				
					8,000
				
			
				10000
				
					10,000
				
			
				12000
				
					12,000
				
			
				14000
				
					14,000
				
			
				16000
				
					16,000
				
			
				18000
				
					18,000","https://cartodb-basemaps-a.global.ssl.fastly.net/light_all/4/6/3.png","+−Leaflet | Map tiles by Carto, under CC BY 3.0. Data by OpenStreetMap, under ODbL.","Data overview
					Market Analysis
					This dashboard provides overview of public procurement markets, helping buyers and bidders to tender more effectively.","Search and Find
					Search
					In this section you can search in the data by criteria of your interest. The results are downloadable for detailed examination.","Download data
					Download
					Want to work with the data? You can download all the data this page is built on.","Indicators
					Administrative Capacity
					This dashboard allows you to analyse and benchmark buyers' administrative capacity.","Indicators
					Transparency
					This dashboard allows you to analyse and benchmark the degree of transparency in public procurement tenders.","Indicators
					Integrity
					This dashboard allows you to analyse and benchmark public procurement integrity risks."
"1661155912-23","https://opentender.eu/start&page[start-at-it]","France","https://opentender.eu/fr?lang=en","Tenders per Year","Nr. of Tenders
	
			
				
		
			
		
			
				2009
				2009
			
				2010
				2010
			
				2011
				2011
			
				2012
				2012
			
				2013
				2013
			
				2014
				2014
			
				2015
				2015
			
				2016
				2016
			
				2017
				2017
			
				2018
				2018
			
				2019
				2019
			
				2020
				2020
			
				2021
				2021
			
				2022
				2022
			
		
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
	
			
		Year
	
		
	
				
		
			
		
			
				0
				
					0
				
			
				20000
				
					20,000
				
			
				40000
				
					40,000
				
			
				60000
				
					60,000
				
			
				80000
				
					80,000
				
			
				100000
				
					100,000
				
			
				120000
				
					120,000
				
			
				140000
				
					140,000
				
			
				160000
				
					160,000
				
			
				180000
				
					180,000
				
			
				200000
				
					200,000
				
			
				220000
				
					220,000
				
			
				240000
				
					240,000","https://cartodb-basemaps-c.global.ssl.fastly.net/light_all/2/0/2.png","+−Leaflet | Map tiles by Carto, under CC BY 3.0. Data by OpenStreetMap, under ODbL.","Data overview
					Market Analysis
					This dashboard provides overview of public procurement markets, helping buyers and bidders to tender more effectively.","Search and Find
					Search
					In this section you can search in the data by criteria of your interest. The results are downloadable for detailed examination.","Download data
					Download
					Want to work with the data? You can download all the data this page is built on.","Indicators
					Administrative Capacity
					This dashboard allows you to analyse and benchmark buyers' administrative capacity.","Indicators
					Transparency
					This dashboard allows you to analyse and benchmark the degree of transparency in public procurement tenders.","Indicators
					Integrity
					This dashboard allows you to analyse and benchmark public procurement integrity risks."
"1661155898-17","https://opentender.eu/start&page[start-at-it]","Ireland","https://opentender.eu/ie?lang=en","Tenders per Year","Nr. of Tenders
	
			
				
		
			
		
			
				2009
				2009
			
				2010
				2010
			
				2011
				2011
			
				2012
				2012
			
				2013
				2013
			
				2014
				2014
			
				2015
				2015
			
				2016
				2016
			
				2017
				2017
			
				2018
				2018
			
				2019
				2019
			
				2020
				2020
			
				2021
				2021
			
				2022
				2022
			
		
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
	
			
		Year
	
		
	
				
		
			
		
			
				0
				
					0
				
			
				1000
				
					1,000
				
			
				2000
				
					2,000
				
			
				3000
				
					3,000
				
			
				4000
				
					4,000
				
			
				5000
				
					5,000
				
			
				6000
				
					6,000
				
			
				7000
				
					7,000
				
			
				8000
				
					8,000
				
			
				9000
				
					9,000","https://cartodb-basemaps-c.global.ssl.fastly.net/light_all/6/31/19.png","+−Leaflet | Map tiles by Carto, under CC BY 3.0. Data by OpenStreetMap, under ODbL.","Data overview
					Market Analysis
					This dashboard provides overview of public procurement markets, helping buyers and bidders to tender more effectively.","Search and Find
					Search
					In this section you can search in the data by criteria of your interest. The results are downloadable for detailed examination.","Download data
					Download
					Want to work with the data? You can download all the data this page is built on.","Indicators
					Administrative Capacity
					This dashboard allows you to analyse and benchmark buyers' administrative capacity.","Indicators
					Transparency
					This dashboard allows you to analyse and benchmark the degree of transparency in public procurement tenders.","Indicators
					Integrity
					This dashboard allows you to analyse and benchmark public procurement integrity risks."
"1661155926-29","https://opentender.eu/start&page[start-at-it]","Cyprus","https://opentender.eu/cy?lang=en","Tenders per Year","Nr. of Tenders
	
			
				
		
			
		
			
				2009
				2009
			
				2010
				2010
			
				2011
				2011
			
				2012
				2012
			
				2013
				2013
			
				2014
				2014
			
				2015
				2015
			
				2016
				2016
			
				2017
				2017
			
				2018
				2018
			
				2019
				2019
			
				2020
				2020
			
				2021
				2021
			
				2022
				2022
			
		
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
	
			
		Year
	
		
	
				
		
			
		
			
				0
				
					0
				
			
				100
				
					100
				
			
				200
				
					200
				
			
				300
				
					300
				
			
				400
				
					400
				
			
				500
				
					500
				
			
				600
				
					600
				
			
				700
				
					700","https://cartodb-basemaps-a.global.ssl.fastly.net/light_all/8/152/100.png","+−Leaflet | Map tiles by Carto, under CC BY 3.0. Data by OpenStreetMap, under ODbL.","Data overview
					Market Analysis
					This dashboard provides overview of public procurement markets, helping buyers and bidders to tender more effectively.","Search and Find
					Search
					In this section you can search in the data by criteria of your interest. The results are downloadable for detailed examination.","Download data
					Download
					Want to work with the data? You can download all the data this page is built on.","Indicators
					Administrative Capacity
					This dashboard allows you to analyse and benchmark buyers' administrative capacity.","Indicators
					Transparency
					This dashboard allows you to analyse and benchmark the degree of transparency in public procurement tenders.","Indicators
					Integrity
					This dashboard allows you to analyse and benchmark public procurement integrity risks."
"1661155850-1","https://opentender.eu/start&page[start-at-it]","United Kingdom","https://opentender.eu/uk?lang=en","Tenders per Year","Nr. of Tenders
	
			
				
		
			
		
			
				2009
				2009
			
				2010
				2010
			
				2011
				2011
			
				2012
				2012
			
				2013
				2013
			
				2014
				2014
			
				2015
				2015
			
				2016
				2016
			
				2017
				2017
			
				2018
				2018
			
				2019
				2019
			
				2020
				2020
			
				2021
				2021
			
				2022
				2022
			
		
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
	
			
		Year
	
		
	
				
		
			
		
			
				0
				
					0
				
			
				5000
				
					5,000
				
			
				10000
				
					10,000
				
			
				15000
				
					15,000
				
			
				20000
				
					20,000
				
			
				25000
				
					25,000
				
			
				30000
				
					30,000
				
			
				35000
				
					35,000
				
			
				40000
				
					40,000
				
			
				45000
				
					45,000
				
			
				50000
				
					50,000
				
			
				55000
				
					55,000","https://cartodb-basemaps-a.global.ssl.fastly.net/light_all/4/5/4.png","+−Leaflet | Map tiles by Carto, under CC BY 3.0. Data by OpenStreetMap, under ODbL.","Data overview
					Market Analysis
					This dashboard provides overview of public procurement markets, helping buyers and bidders to tender more effectively.","Search and Find
					Search
					In this section you can search in the data by criteria of your interest. The results are downloadable for detailed examination.","Download data
					Download
					Want to work with the data? You can download all the data this page is built on.","Indicators
					Administrative Capacity
					This dashboard allows you to analyse and benchmark buyers' administrative capacity.","Indicators
					Transparency
					This dashboard allows you to analyse and benchmark the degree of transparency in public procurement tenders.","Indicators
					Integrity
					This dashboard allows you to analyse and benchmark public procurement integrity risks."
"1661155917-25","https://opentender.eu/start&page[start-at-it]","EU Institutions","https://opentender.eu/eu?lang=en","Tenders per Year","Nr. of Tenders
	
			
				
		
			
		
			
				2009
				2009
			
				2010
				2010
			
				2011
				2011
			
				2012
				2012
			
				2013
				2013
			
				2014
				2014
			
				2015
				2015
			
				2016
				2016
			
				2017
				2017
			
				2018
				2018
			
				2019
				2019
			
				2020
				2020
			
				2021
				2021
			
		
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
	
			
		Year
	
		
	
				
		
			
		
			
				0
				
					0
				
			
				2000
				
					2,000
				
			
				4000
				
					4,000
				
			
				6000
				
					6,000
				
			
				8000
				
					8,000
				
			
				10000
				
					10,000
				
			
				12000
				
					12,000
				
			
				14000
				
					14,000
				
			
				16000
				
					16,000
				
			
				18000
				
					18,000
				
			
				20000
				
					20,000
				
			
				22000
				
					22,000
				
			
				24000
				
					24,000
				
			
				26000
				
					26,000
				
			
				28000
				
					28,000","https://cartodb-basemaps-c.global.ssl.fastly.net/light_all/2/2/0.png","+−Leaflet | Map tiles by Carto, under CC BY 3.0. Data by OpenStreetMap, under ODbL.","Data overview
					Market Analysis
					This dashboard provides overview of public procurement markets, helping buyers and bidders to tender more effectively.","Search and Find
					Search
					In this section you can search in the data by criteria of your interest. The results are downloadable for detailed examination.","Download data
					Download
					Want to work with the data? You can download all the data this page is built on.","Indicators
					Administrative Capacity
					This dashboard allows you to analyse and benchmark buyers' administrative capacity.","Indicators
					Transparency
					This dashboard allows you to analyse and benchmark the degree of transparency in public procurement tenders.","Indicators
					Integrity
					This dashboard allows you to analyse and benchmark public procurement integrity risks."
"1661155910-22","https://opentender.eu/start&page[start-at-it]","Georgia","https://opentender.eu/ge?lang=en","Tenders per Year","Nr. of Tenders
	
			
				
		
			
		
			
				2010
				2010
			
				2011
				2011
			
				2012
				2012
			
				2013
				2013
			
				2014
				2014
			
				2015
				2015
			
				2016
				2016
			
				2017
				2017
			
				2018
				2018
			
				2019
				2019
			
				2020
				2020
			
				2021
				2021
			
				2022
				2022
			
		
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
	
			
		Year
	
		
	
				
		
			
		
			
				0
				
					0
				
			
				5000
				
					5,000
				
			
				10000
				
					10,000
				
			
				15000
				
					15,000
				
			
				20000
				
					20,000
				
			
				25000
				
					25,000
				
			
				30000
				
					30,000
				
			
				35000
				
					35,000","https://cartodb-basemaps-b.global.ssl.fastly.net/light_all/3/4/3.png","+−Leaflet | Map tiles by Carto, under CC BY 3.0. Data by OpenStreetMap, under ODbL.","Data overview
					Market Analysis
					This dashboard provides overview of public procurement markets, helping buyers and bidders to tender more effectively.","Search and Find
					Search
					In this section you can search in the data by criteria of your interest. The results are downloadable for detailed examination.","Download data
					Download
					Want to work with the data? You can download all the data this page is built on.","Indicators
					Administrative Capacity
					This dashboard allows you to analyse and benchmark buyers' administrative capacity.","Indicators
					Transparency
					This dashboard allows you to analyse and benchmark the degree of transparency in public procurement tenders.","Indicators
					Integrity
					This dashboard allows you to analyse and benchmark public procurement integrity risks."
"1661155919-26","https://opentender.eu/start&page[start-at-it]","Estonia","https://opentender.eu/ee?lang=en","Tenders per Year","Nr. of Tenders
	
			
				
		
			
		
			
				2009
				2009
			
				2010
				2010
			
				2011
				2011
			
				2012
				2012
			
				2013
				2013
			
				2014
				2014
			
				2015
				2015
			
				2016
				2016
			
				2017
				2017
			
				2018
				2018
			
				2019
				2019
			
				2020
				2020
			
				2021
				2021
			
				2022
				2022
			
		
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
			
		
	
			
		Year
	
		
	
				
		
			
		
			
				0
				
					0
				
			
				1000
				
					1,000
				
			
				2000
				
					2,000
				
			
				3000
				
					3,000
				
			
				4000
				
					4,000
				
			
				5000
				
					5,000
				
			
				6000
				
					6,000
				
			
				7000
				
					7,000
				
			
				8000
				
					8,000
				
			
				9000
				
					9,000
				
			
				10000
				
					10,000","https://cartodb-basemaps-b.global.ssl.fastly.net/light_all/7/71/38.png","+−Leaflet | Map tiles by Carto, under CC BY 3.0. Data by OpenStreetMap, under ODbL.","Data overview
					Market Analysis
					This dashboard provides overview of public procurement markets, helping buyers and bidders to tender more effectively.","Search and Find
					Search
					In this section you can search in the data by criteria of your interest. The results are downloadable for detailed examination.","Download data
					Download
					Want to work with the data? You can download all the data this page is built on.","Indicators
					Administrative Capacity
					This dashboard allows you to analyse and benchmark buyers' administrative capacity.","Indicators
					Transparency
					This dashboard allows you to analyse and benchmark the degree of transparency in public procurement tenders.","Indicators
					Integrity
					This dashboard allows you to analyse and benchmark public procurement integrity risks."
