dates,covid19mobilitytrend_residence
2020-02-15,-1
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,1
2020-02-20,0
2020-02-21,1
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,-1
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,1
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,3
2020-03-13,4
2020-03-14,4
2020-03-15,5
2020-03-16,19
2020-03-17,35
2020-03-18,38
2020-03-19,40
2020-03-20,42
2020-03-21,36
2020-03-22,29
2020-03-23,40
2020-03-24,40
2020-03-25,40
2020-03-26,40
2020-03-27,41
2020-03-28,35
2020-03-29,29
2020-03-30,38
2020-03-31,38
2020-04-01,39
2020-04-02,40
2020-04-03,41
2020-04-04,36
2020-04-05,34
2020-04-06,39
2020-04-07,39
2020-04-08,36
2020-04-09,48
2020-04-10,51
2020-04-11,34
2020-04-12,34
2020-04-13,37
2020-04-14,38
2020-04-15,39
2020-04-16,40
2020-04-17,41
2020-04-18,34
2020-04-19,34
2020-04-20,37
2020-04-21,39
2020-04-22,39
2020-04-23,39
2020-04-24,40
2020-04-25,33
2020-04-26,34
2020-04-27,37
2020-04-28,33
2020-04-29,37
2020-04-30,37
2020-05-01,42
2020-05-02,33
2020-05-03,34
2020-05-04,36
2020-05-05,36
2020-05-06,37
2020-05-07,37
2020-05-08,38
2020-05-09,30
2020-05-10,33
2020-05-11,34
2020-05-12,35
2020-05-13,36
2020-05-14,34
2020-05-15,37
2020-05-16,30
2020-05-17,34
2020-05-18,34
2020-05-19,35
2020-05-20,35
2020-05-21,36
2020-05-22,36
2020-05-23,29
2020-05-24,33
2020-05-25,32
2020-05-26,32
2020-05-27,33
2020-05-28,33
2020-05-29,34
2020-05-30,26
2020-05-31,33
2020-06-01,30
2020-06-02,31
2020-06-03,32
2020-06-04,32
2020-06-05,33
2020-06-06,26
2020-06-07,33
2020-06-08,29
2020-06-09,30
2020-06-10,30
2020-06-11,31
2020-06-12,31
2020-06-13,24
2020-06-14,33
2020-06-15,27
2020-06-16,28
2020-06-17,29
2020-06-18,29
2020-06-19,28
2020-06-20,21
2020-06-21,31
2020-06-22,26
2020-06-23,28
2020-06-24,28
2020-06-25,28
2020-06-26,29
