dates,covid19mobilitytrend_residence
2020-02-15,0
2020-02-16,1
2020-02-17,-3
2020-02-18,-1
2020-02-19,-2
2020-02-20,-2
2020-02-21,-2
2020-02-22,2
2020-02-23,1
2020-02-24,-3
2020-02-25,-1
2020-02-26,-2
2020-02-27,-2
2020-02-28,-2
2020-02-29,0
2020-03-01,1
2020-03-02,-2
2020-03-03,-1
2020-03-04,-1
2020-03-05,-1
2020-03-06,-1
2020-03-07,1
2020-03-08,1
2020-03-09,-2
2020-03-10,0
2020-03-11,-1
2020-03-12,-1
2020-03-13,-1
2020-03-14,1
2020-03-15,1
2020-03-16,-1
2020-03-17,1
2020-03-18,2
2020-03-19,3
2020-03-20,5
2020-03-21,8
2020-03-22,8
2020-03-23,6
2020-03-24,16
2020-03-25,20
2020-03-26,35
2020-03-27,38
2020-03-28,26
2020-03-29,22
2020-03-30,30
2020-03-31,33
2020-04-01,34
2020-04-02,34
2020-04-03,37
2020-04-04,25
2020-04-05,21
2020-04-06,30
2020-04-07,33
2020-04-08,33
2020-04-09,33
2020-04-10,42
2020-04-11,24
2020-04-12,22
2020-04-13,34
2020-04-14,34
2020-04-15,34
2020-04-16,34
2020-04-17,37
2020-04-18,25
2020-04-19,21
2020-04-20,29
2020-04-21,33
2020-04-22,33
2020-04-23,33
2020-04-24,35
2020-04-25,24
2020-04-26,20
2020-04-27,32
2020-04-28,22
2020-04-29,14
2020-04-30,24
2020-05-01,25
2020-05-02,18
2020-05-03,18
2020-05-04,20
2020-05-05,24
2020-05-06,23
2020-05-07,23
2020-05-08,24
2020-05-09,16
2020-05-10,14
2020-05-11,19
2020-05-12,22
2020-05-13,21
2020-05-14,15
2020-05-15,16
2020-05-16,8
2020-05-17,8
2020-05-18,8
2020-05-19,11
2020-05-20,11
2020-05-21,11
2020-05-22,11
2020-05-23,7
2020-05-24,8
2020-05-25,9
2020-05-26,10
2020-05-27,10
2020-05-28,9
2020-05-29,9
2020-05-30,5
2020-05-31,5
2020-06-01,17
2020-06-02,8
2020-06-03,9
2020-06-04,9
2020-06-05,9
2020-06-06,7
2020-06-07,7
2020-06-08,6
2020-06-09,7
2020-06-10,7
2020-06-11,7
2020-06-12,7
2020-06-13,5
2020-06-14,5
2020-06-15,4
2020-06-16,6
2020-06-17,6
2020-06-18,8
2020-06-19,7
2020-06-20,5
2020-06-21,6
2020-06-22,4
2020-06-23,6
2020-06-24,6
2020-06-25,7
2020-06-26,7
2020-06-27,6
2020-06-28,6
2020-06-29,5
2020-06-30,6
2020-07-01,6
2020-07-02,6
2020-07-03,6
2020-07-04,4
2020-07-05,5
2020-07-06,6
2020-07-07,7
2020-07-08,8
2020-07-09,7
2020-07-10,7
2020-07-11,4
2020-07-12,4
2020-07-13,5
2020-07-14,6
2020-07-15,7
2020-07-16,7
2020-07-17,7
2020-07-18,4
2020-07-19,4
2020-07-20,3
2020-07-21,5
2020-07-22,5
2020-07-23,4
2020-07-24,4
2020-07-25,3
2020-07-26,3
2020-07-27,2
2020-07-28,4
2020-07-29,4
2020-07-30,3
2020-07-31,4
2020-08-01,4
2020-08-02,4
2020-08-03,2
2020-08-04,3
2020-08-05,3
2020-08-06,3
2020-08-07,4
2020-08-08,3
2020-08-09,3
2020-08-10,2
2020-08-11,4
2020-08-12,10
2020-08-13,13
2020-08-14,14
2020-08-15,11
2020-08-16,10
2020-08-17,10
2020-08-18,12
2020-08-19,14
2020-08-20,12
2020-08-21,14
2020-08-22,9
2020-08-23,10
2020-08-24,10
2020-08-25,12
2020-08-26,11
2020-08-27,12
2020-08-28,11
2020-08-29,8
2020-08-30,8
2020-08-31,4
2020-09-01,7
2020-09-02,6
2020-09-03,5
2020-09-04,5
2020-09-05,4
2020-09-06,4
2020-09-07,4
2020-09-08,5
2020-09-09,5
2020-09-10,5
2020-09-11,5
2020-09-12,3
2020-09-13,3
2020-09-14,2
2020-09-15,4
2020-09-16,4
2020-09-17,4
2020-09-18,5
2020-09-19,4
2020-09-20,3
2020-09-21,2
2020-09-22,4
2020-09-23,4
2020-09-24,4
2020-09-25,4
2020-09-26,3
2020-09-27,6
2020-09-28,5
2020-09-29,7
2020-09-30,5
2020-10-01,4
2020-10-02,5
2020-10-03,2
2020-10-04,2
2020-10-05,2
2020-10-06,4
2020-10-07,4
2020-10-08,4
2020-10-09,5
2020-10-10,2
2020-10-11,3
2020-10-12,2
2020-10-13,4
2020-10-14,2
2020-10-15,3
2020-10-16,2
2020-10-17,2
2020-10-18,3
2020-10-19,2
2020-10-20,3
2020-10-21,2
2020-10-22,1
2020-10-23,2
2020-10-24,0
2020-10-25,0
2020-10-26,12
2020-10-27,3
2020-10-28,2
2020-10-29,2
2020-10-30,2
2020-10-31,2
2020-11-01,3
2020-11-02,1
2020-11-03,3
2020-11-04,2
2020-11-05,4
2020-11-06,2
2020-11-07,3
2020-11-08,5
2020-11-09,2
2020-11-10,4
2020-11-11,2
2020-11-12,1
2020-11-13,5
2020-11-14,1
2020-11-15,2
2020-11-16,2
2020-11-17,3
2020-11-18,3
2020-11-19,2
2020-11-20,2
2020-11-21,2
2020-11-22,3
2020-11-23,1
2020-11-24,3
2020-11-25,4
2020-11-26,2
2020-11-27,1
2020-11-28,0
2020-11-29,3
2020-11-30,2
2020-12-01,3
2020-12-02,2
2020-12-03,2
2020-12-04,1
2020-12-05,1
2020-12-06,1
2020-12-07,1
2020-12-08,2
2020-12-09,2
2020-12-10,1
2020-12-11,1
2020-12-12,0
2020-12-13,2
2020-12-14,0
2020-12-15,2
2020-12-16,2
2020-12-17,2
2020-12-18,2
2020-12-19,1
2020-12-20,1
2020-12-21,2
2020-12-22,4
2020-12-23,4
2020-12-24,9
2020-12-25,17
2020-12-26,4
2020-12-27,2
2020-12-28,12
2020-12-29,12
2020-12-30,11
2020-12-31,7
2021-01-01,19
2021-01-02,7
2021-01-03,4
2021-01-04,14
2021-01-05,10
2021-01-06,9
2021-01-07,10
2021-01-08,12
2021-01-09,3
2021-01-10,3
2021-01-11,4
2021-01-12,5
2021-01-13,5
2021-01-14,4
2021-01-15,5
2021-01-16,2
2021-01-17,3
2021-01-18,2
2021-01-19,5
2021-01-20,5
2021-01-21,4
2021-01-22,4
2021-01-23,2
2021-01-24,2
