dates,covid19mobilitytrend_residence
2020-02-15,-1
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,-1
2020-02-20,-1
2020-02-21,-2
2020-02-22,-3
2020-02-23,-4
2020-02-24,3
2020-02-25,16
2020-02-26,2
2020-02-27,0
2020-02-28,-1
2020-02-29,1
2020-03-01,2
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,-1
2020-03-07,-1
2020-03-08,0
2020-03-09,1
2020-03-10,0
2020-03-11,1
2020-03-12,4
2020-03-13,9
2020-03-14,13
2020-03-15,15
2020-03-16,22
2020-03-17,24
2020-03-18,24
2020-03-19,30
2020-03-20,36
2020-03-21,26
2020-03-22,22
2020-03-23,32
2020-03-24,33
2020-03-25,32
2020-03-26,33
2020-03-27,36
2020-03-28,25
2020-03-29,22
2020-03-30,33
2020-03-31,33
2020-04-01,33
2020-04-02,33
2020-04-03,36
2020-04-04,25
2020-04-05,23
2020-04-06,33
2020-04-07,32
2020-04-08,30
2020-04-09,35
2020-04-10,46
2020-04-11,26
2020-04-12,23
2020-04-13,37
2020-04-14,31
2020-04-15,32
2020-04-16,33
2020-04-17,35
2020-04-18,22
2020-04-19,20
2020-04-20,32
2020-04-21,31
2020-04-22,30
2020-04-23,30
2020-04-24,33
2020-04-25,23
2020-04-26,19
2020-04-27,30
2020-04-28,27
2020-04-29,29
2020-04-30,27
2020-05-01,43
2020-05-02,22
2020-05-03,17
2020-05-04,26
2020-05-05,25
2020-05-06,24
2020-05-07,25
2020-05-08,27
2020-05-09,18
2020-05-10,14
2020-05-11,25
2020-05-12,25
2020-05-13,25
2020-05-14,24
2020-05-15,26
2020-05-16,14
2020-05-17,10
2020-05-18,21
2020-05-19,21
2020-05-20,20
2020-05-21,21
2020-05-22,21
2020-05-23,10
2020-05-24,7
2020-05-25,19
2020-05-26,19
2020-05-27,18
2020-05-28,18
2020-05-29,18
2020-05-30,8
2020-05-31,6
2020-06-01,16
2020-06-02,17
2020-06-03,16
2020-06-04,16
2020-06-05,17
2020-06-06,8
2020-06-07,7
2020-06-08,16
2020-06-09,13
2020-06-10,19
2020-06-11,26
2020-06-12,20
2020-06-13,8
2020-06-14,4
2020-06-15,15
2020-06-16,15
2020-06-17,14
2020-06-18,14
2020-06-19,14
2020-06-20,5
2020-06-21,4
2020-06-22,14
2020-06-23,13
2020-06-24,16
2020-06-25,15
