dates,count_medicalconditionincident_covid_19_patienthospitalized
2020-08-01,2083
2020-08-02,2325
2020-08-03,2370
2020-08-04,2405
2020-08-05,2514
2020-08-06,2756
2020-08-07,2659
2020-08-08,2630
2020-08-09,3084
2020-08-10,2975
2020-08-11,3054
2020-08-12,3203
2020-08-13,3319
2020-08-14,3346
2020-08-15,3409
2020-08-16,3842
2020-08-17,4190
2020-08-18,4157
2020-08-19,4292
2020-08-20,4354
2020-08-21,4340
2020-08-22,4405
2020-08-23,4964
2020-08-24,5245
2020-08-25,5431
2020-08-26,5430
2020-08-27,5753
2020-08-28,5666
2020-08-29,5725
2020-08-30,6498
2020-08-31,6300
2020-09-01,6325
2020-09-02,6404
2020-09-03,6455
2020-09-04,6374
2020-09-05,6532
2020-09-06,7146
2020-09-07,7218
2020-09-08,7344
2020-09-09,7461
2020-09-10,7500
2020-09-11,7476
2020-09-12,7641
2020-09-13,8484
2020-09-14,8698
2020-09-15,8573
2020-09-16,8825
2020-09-17,8736
2020-09-18,8651
2020-09-19,8783
2020-09-20,9680
2020-09-21,9454
2020-09-22,9357
2020-09-23,9657
2020-09-24,9578
2020-09-25,9217
2020-09-26,9310
2020-09-27,9730
2020-09-28,9470
2020-09-29,9223
2020-09-30,9279
2020-10-01,8821
2020-10-02,8954
2020-10-03,8662
2020-10-04,9310
2020-10-05,9150
2020-10-06,9034
2020-10-07,9036
2020-10-08,8939
2020-10-09,8543
2020-10-10,8626
2020-10-11,8815
2020-10-12,9797
2020-10-13,9987
2020-10-14,9977
2020-10-15,10103
2020-10-16,9805
2020-10-17,9853
2020-10-18,11087
2020-10-19,11403
2020-10-20,11681
2020-10-21,12386
2020-10-22,12507
2020-10-23,12566
2020-10-24,13301
2020-10-25,14053
2020-10-26,14428
2020-10-27,14532
2020-10-28,14953
2020-10-29,15559
2020-10-30,15002
2020-10-31,15168
2020-11-01,16396
2020-11-02,17084
2020-11-03,17330
2020-11-04,17271
2020-11-05,17174
2020-11-06,16535
2020-11-07,16683
2020-11-08,18025
2020-11-09,17767
2020-11-10,17695
2020-11-11,17212
2020-11-12,16983
2020-11-13,16204
2020-11-14,16174
2020-11-15,17125
2020-11-16,16646
2020-11-17,16133
2020-11-18,15497
2020-11-19,14706
2020-11-20,13647
2020-11-21,13778
2020-11-22,14586
2020-11-23,13669
2020-11-24,12996
2020-11-25,12356
2020-11-26,11878
2020-11-27,11121
2020-11-28,11155
2020-11-29,11801
2020-11-30,11576
2020-12-01,10967
2020-12-02,10521
2020-12-03,10050
2020-12-04,9275
2020-12-05,9272
2020-12-06,9582
2020-12-07,9417
2020-12-08,9874
2020-12-09,9623
2020-12-10,9471
2020-12-11,8974
2020-12-12,9003
2020-12-13,9687
2020-12-14,9599
2020-12-15,9378
2020-12-16,9299
2020-12-17,9304
2020-12-18,8860
2020-12-19,8915
2020-12-20,9651
2020-12-21,9594
2020-12-22,9396
2020-12-23,8837
2020-12-24,8838
2020-12-25,9204
2020-12-26,9078
2020-12-27,9934
2020-12-28,10128
2020-12-29,9922
2020-12-30,9477
2020-12-31,9491
2021-01-01,10032
2021-01-02,9941
2021-01-03,11262
2021-01-04,11624
2021-01-05,11611
2021-01-06,12241
2021-01-07,12636
2021-01-08,12694
2021-01-09,12841
2021-01-10,14392
2021-01-11,15139
2021-01-12,15480
2021-01-13,16077
2021-01-14,16706
2021-01-15,17131
2021-01-16,17330
2021-01-17,19955
2021-01-18,20771
2021-01-19,21645
2021-01-20,22823
2021-01-21,23527
2021-01-22,23781
2021-01-23,23946
2021-01-24,26204
2021-01-25,26387
2021-01-26,26276
2021-01-27,26104
2021-01-28,26041
2021-01-29,25291
2021-01-30,25437
2021-01-31,27029
2021-02-01,26268
2021-02-02,25425
2021-02-03,24460
2021-02-04,23798
2021-02-05,22211
2021-02-06,22163
2021-02-07,22907
2021-02-08,21514
2021-02-09,20269
2021-02-10,19069
2021-02-11,17958
2021-02-12,16436
2021-02-13,16461
2021-02-14,16766
2021-02-15,15544
2021-02-16,14413
2021-02-17,13437
2021-02-18,12575
2021-02-19,11210
2021-02-20,11202
2021-02-21,11678
2021-02-22,10802
2021-02-23,10260
2021-02-24,9656
2021-02-25,9186
2021-02-26,8472
2021-02-27,8502
2021-02-28,8831
2021-03-01,8450
2021-03-02,8081
2021-03-03,7585
2021-03-04,7347
2021-03-05,6945
2021-03-06,6894
2021-03-07,7292
2021-03-08,7026
2021-03-09,6807
2021-03-10,6477
2021-03-11,6354
2021-03-12,6115
2021-03-13,6152
2021-03-14,6879
2021-03-15,6312
2021-03-16,6073
2021-03-17,5891
2021-03-18,5725
2021-03-19,5627
2021-03-20,5666
2021-03-21,6075
2021-03-22,6059
2021-03-23,5951
2021-03-24,5945
2021-03-25,5849
2021-03-26,5642
2021-03-27,5704
2021-03-28,6231
2021-03-29,6243
2021-03-30,6245
2021-03-31,6092
2021-04-01,6136
2021-04-02,6505
2021-04-03,6477
2021-04-04,7058
2021-04-05,7435
2021-04-06,7408
2021-04-07,7360
2021-04-08,7309
2021-04-09,7086
2021-04-10,7157
2021-04-11,7821
2021-04-12,7802
2021-04-13,7644
2021-04-14,7589
2021-04-15,7618
2021-04-16,7380
2021-04-17,7422
2021-04-18,8153
2021-04-19,8014
2021-04-20,7820
2021-04-21,7766
2021-04-22,7674
2021-04-23,7343
2021-04-24,7387
2021-04-25,8024
2021-04-26,7875
2021-04-27,7669
2021-04-28,7464
2021-04-29,7350
2021-04-30,6940
2021-05-01,6995
2021-05-02,7400
2021-05-03,7298
2021-05-04,6901
2021-05-05,6688
2021-05-06,6422
2021-05-07,5979
2021-05-08,5977
2021-05-09,6397
2021-05-10,6068
2021-05-11,5705
2021-05-12,5444
2021-05-13,5198
2021-05-14,4821
2021-05-15,4850
2021-05-16,5088
2021-05-17,4791
2021-05-18,4529
2021-05-19,4267
2021-05-20,4055
2021-05-21,3738
2021-05-22,3795
2021-05-23,3981
2021-05-24,3858
2021-05-25,3612
2021-05-26,3472
2021-05-27,3387
2021-05-28,3125
2021-05-29,3164
2021-05-30,3509
2021-05-31,3368
2021-06-01,3231
2021-06-02,3037
2021-06-03,2969
2021-06-04,2767
2021-06-05,2752
2021-06-06,2990
2021-06-07,2792
2021-06-08,2665
2021-06-09,2561
2021-06-10,2461
2021-06-11,2536
2021-06-12,2533
2021-06-13,2497
2021-06-14,2352
2021-06-15,2236
2021-06-16,2239
2021-06-17,2038
2021-06-18,1889
2021-06-19,1905
2021-06-20,2062
2021-06-21,1932
2021-06-22,1821
2021-06-23,1750
2021-06-24,1725
2021-06-25,1672
2021-06-26,1656
2021-06-27,1846
2021-06-28,1765
2021-06-29,1774
2021-06-30,1773
2021-07-01,1826
2021-07-02,1800
2021-07-03,1808
2021-07-04,2105
2021-07-05,2178
2021-07-06,2230
2021-07-07,2285
2021-07-08,2494
2021-07-09,2529
2021-07-10,2536
2021-07-11,3172
2021-07-12,3432
2021-07-13,3668
2021-07-14,3860
2021-07-15,4183
2021-07-16,4234
2021-07-17,4257
2021-07-18,5426
2021-07-19,5734
2021-07-20,6075
2021-07-21,6378
2021-07-22,6663
2021-07-23,6756
2021-07-24,6792
2021-07-25,7878
2021-07-26,7990
2021-07-27,8079
2021-07-28,8055
2021-07-29,8127
2021-07-30,8118
2021-07-31,8085
2021-08-01,8708
2021-08-02,8450
2021-08-03,8354
2021-08-04,8061
2021-08-05,8087
2021-08-06,8024
2021-08-07,8294
2021-08-08,8368
2021-08-09,8005
2021-08-10,7780
2021-08-11,7557
2021-08-12,7370
2021-08-13,7217
2021-08-14,7255
2021-08-15,7318
2021-08-16,7262
2021-08-17,6951
2021-08-18,6651
2021-08-19,6419
2021-08-20,6311
2021-08-21,6315
2021-08-22,6443
2021-08-23,6145
2021-08-24,5879
2021-08-25,5649
2021-08-26,5496
2021-08-27,5421
2021-08-28,5425
2021-08-29,5456
2021-08-30,5213
2021-08-31,4996
2021-09-01,4797
2021-09-02,4785
2021-09-03,4646
2021-09-04,4667
2021-09-05,4361
2021-09-06,4221
2021-09-07,4021
2021-09-08,3844
2021-09-09,3744
2021-09-10,3490
2021-09-11,3490
2021-09-12,3478
2021-09-13,3264
2021-09-14,3054
2021-09-15,2889
2021-09-16,2781
2021-09-17,2716
2021-09-18,2719
2021-09-19,2680
2021-09-20,2495
2021-09-21,2334
2021-09-22,2186
2021-09-23,2111
2021-09-24,2067
2021-09-25,2051
2021-09-26,2049
2021-09-27,1992
2021-09-28,1875
2021-09-29,1812
2021-09-30,1727
2021-10-01,1709
2021-10-02,1711
2021-10-03,1724
2021-10-04,1670
2021-10-05,1620
2021-10-06,1534
2021-10-07,1466
2021-10-08,1435
2021-10-09,1439
2021-10-10,1430
2021-10-11,1340
2021-10-12,1391
2021-10-13,1397
2021-10-14,1392
2021-10-15,1373
2021-10-16,1387
2021-10-17,1401
2021-10-18,1412
2021-10-19,1379
2021-10-20,1309
2021-10-21,1295
2021-10-22,1272
2021-10-23,1275
2021-10-24,1355
2021-10-25,1305
2021-10-26,1270
2021-10-27,1235
2021-10-28,1229
2021-10-29,1202
2021-10-30,1206
2021-10-31,1210
2021-11-01,1296
2021-11-02,1410
2021-11-03,1401
2021-11-04,1406
2021-11-05,1431
2021-11-06,1421
2021-11-07,1450
2021-11-08,1453
