aug_id,original_id,sample_frequency,name,description,source,url,country_name,location,time stamp
aishub2766,2766,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Angola,Zaire,India Standard Time 21:05:40 19/10/2021
aishub3061,3061,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Argentina,Buenos Aires,India Standard Time 21:05:40 19/10/2021
aishub2502,2502,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Scarborough,India Standard Time 21:05:40 19/10/2021
aishub2070,2070,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,"Nelson Bay, NSW",India Standard Time 21:05:40 19/10/2021
aishub2465,2465,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Darwin,India Standard Time 21:05:40 19/10/2021
aishub2637,2637,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Devonport,India Standard Time 21:05:40 19/10/2021
aishub2801,2801,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Glenorchy,India Standard Time 21:05:40 19/10/2021
aishub2556,2556,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Franklin,India Standard Time 21:05:40 19/10/2021
aishub2234,2234,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Mt Arthur (N.Tasmania),India Standard Time 21:05:40 19/10/2021
aishub2995,2995,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Kingston,India Standard Time 21:05:40 19/10/2021
aishub3354,3354,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Port Hedland,India Standard Time 21:05:40 19/10/2021
aishub2675,2675,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Sydney,India Standard Time 21:05:40 19/10/2021
aishub2999,2999,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Mount Hicks,India Standard Time 21:05:40 19/10/2021
aishub3292,3292,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,"Oakleigh, Victoria",India Standard Time 21:05:40 19/10/2021
aishub2701,2701,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,O'Connor,India Standard Time 21:05:40 19/10/2021
aishub2864,2864,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Morayfield,India Standard Time 21:05:40 19/10/2021
