dates,covid19mobilitytrend_residence
2020-02-15,-1
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,1
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,-1
2020-02-24,-1
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,-1
2020-02-29,-2
2020-03-01,-1
2020-03-02,0
2020-03-03,-1
2020-03-04,0
2020-03-05,-1
2020-03-06,-2
2020-03-07,-2
2020-03-08,-1
2020-03-09,0
2020-03-10,-1
2020-03-11,-1
2020-03-12,0
2020-03-13,-1
2020-03-14,1
2020-03-15,1
2020-03-16,4
2020-03-17,5
2020-03-18,8
2020-03-19,9
2020-03-20,10
2020-03-21,8
2020-03-22,9
2020-03-23,14
2020-03-24,17
2020-03-25,18
2020-03-26,19
2020-03-27,23
2020-03-28,19
2020-03-29,17
2020-03-30,21
2020-03-31,21
2020-04-01,22
2020-04-02,22
2020-04-03,23
2020-04-04,17
2020-04-05,17
2020-04-06,21
2020-04-07,23
2020-04-08,23
2020-04-09,23
2020-04-10,32
2020-04-11,21
2020-04-12,19
2020-04-13,31
2020-04-14,22
2020-04-15,23
2020-04-16,24
2020-04-17,25
2020-04-18,20
2020-04-19,19
2020-04-20,23
2020-04-21,23
2020-04-22,24
2020-04-23,25
2020-04-24,26
2020-04-25,21
2020-04-26,20
2020-04-27,23
2020-04-28,22
2020-04-29,23
2020-04-30,22
2020-05-01,30
2020-05-02,19
2020-05-03,17
2020-05-04,21
2020-05-05,21
2020-05-06,22
2020-05-07,22
2020-05-08,24
2020-05-09,13
2020-05-10,16
2020-05-11,21
2020-05-12,21
2020-05-13,21
2020-05-14,20
2020-05-15,23
2020-05-16,18
2020-05-17,16
2020-05-18,20
2020-05-19,20
2020-05-20,22
2020-05-21,22
2020-05-22,22
2020-05-23,17
2020-05-24,15
2020-05-25,27
2020-05-26,19
2020-05-27,20
2020-05-28,20
2020-05-29,21
2020-05-30,15
2020-05-31,14
2020-06-01,26
2020-06-02,18
2020-06-03,19
2020-06-04,19
2020-06-05,20
2020-06-06,15
2020-06-07,13
2020-06-08,17
2020-06-09,16
2020-06-10,19
2020-06-11,17
2020-06-12,18
2020-06-13,13
2020-06-14,13
2020-06-15,17
2020-06-16,16
2020-06-17,17
2020-06-18,16
2020-06-19,17
2020-06-20,12
2020-06-21,12
2020-06-22,16
2020-06-23,16
2020-06-24,16
2020-06-25,16
