"Series ID","Month","Value","Annual Percent Change"
"CUSR0000SA0","July 1, 2022","295.271","8.5"
"CUSR0000SA0","June 1, 2022","295.328","9.0"
"CUSR0000SA0","May 1, 2022","291.474","8.5"
"CUSR0000SA0","April 1, 2022","288.663","8.2"
"CUSR0000SA0","March 1, 2022","287.708","8.6"
"CUSR0000SA0","February 1, 2022","284.182","7.9"
"CUSR0000SA0","January 1, 2022","281.933","7.5"
"CUSR0000SA0","December 1, 2021","280.126","7.1"
"CUSR0000SA0","November 1, 2021","278.524","6.8"
"CUSR0000SA0","October 1, 2021","276.590","6.2"
"CUSR0000SA0","September 1, 2021","274.214","5.4"
"CUSR0000SA0","August 1, 2021","273.092","5.2"
"CUSR0000SA0","July 1, 2021","272.184","5.3"
"CUSR0000SA0","June 1, 2021","270.955","5.3"
"CUSR0000SA0","May 1, 2021","268.599","4.9"
"CUSR0000SA0","April 1, 2021","266.727","4.2"
"CUSR0000SA0","March 1, 2021","265.028","2.7"
"CUSR0000SA0","February 1, 2021","263.346","1.7"
"CUSR0000SA0","January 1, 2021","262.200","1.4"
"CUSR0000SA0","December 1, 2020","261.564","1.3"
"CUSR0000SA0","November 1, 2020","260.721","1.1"
"CUSR0000SA0","October 1, 2020","260.352","1.2"
"CUSR0000SA0","September 1, 2020","260.190","1.4"
"CUSR0000SA0","August 1, 2020","259.580","1.3"
"CUSR0000SA0","July 1, 2020","258.543","1.0"
"CUSR0000SA0","June 1, 2020","257.217","0.7"
"CUSR0000SA0","May 1, 2020","255.944","0.2"
"CUSR0000SA0","April 1, 2020","256.094","0.4"
"CUSR0000SA0","March 1, 2020","258.165","1.5"
"CUSR0000SA0","February 1, 2020","259.007","2.3"
"CUSR0000SA0","January 1, 2020","258.682","2.5"
"CUSR0000SA0","December 1, 2019","258.263","2.3"
"CUSR0000SA0","November 1, 2019","257.788","2.0"
"CUSR0000SA0","October 1, 2019","257.305","1.8"
"CUSR0000SA0","September 1, 2019","256.596","1.7"
"CUSR0000SA0","August 1, 2019","256.179","1.8"
"CUSR0000SA0","July 1, 2019","255.900","1.8"
"CUSR0000SA0","June 1, 2019","255.361","1.7"
"CUSR0000SA0","May 1, 2019","255.325","1.8"
"CUSR0000SA0","April 1, 2019","255.163","2.0"
"CUSR0000SA0","March 1, 2019","254.273","1.9"
"CUSR0000SA0","February 1, 2019","253.135","1.5"
"CUSR0000SA0","January 1, 2019","252.470","1.5"
"CUSR0000SA0","December 1, 2018","252.551","1.9"
"CUSR0000SA0","November 1, 2018","252.657","2.2"
"CUSR0000SA0","October 1, 2018","252.862","2.5"
"CUSR0000SA0","September 1, 2018","252.239","2.4"
"CUSR0000SA0","August 1, 2018","251.749","2.7"
"CUSR0000SA0","July 1, 2018","251.323","2.9"
"CUSR0000SA0","June 1, 2018","251.118","2.8"
"CUSR0000SA0","May 1, 2018","250.779","2.8"
"CUSR0000SA0","April 1, 2018","250.146","2.4"
"CUSR0000SA0","March 1, 2018","249.581","2.3"
"CUSR0000SA0","February 1, 2018","249.439","2.2"
"CUSR0000SA0","January 1, 2018","248.743","2.1"
"CUSR0000SA0","December 1, 2017","247.805","2.1"
"CUSR0000SA0","November 1, 2017","247.284","2.2"
"CUSR0000SA0","October 1, 2017","246.626","2.0"
"CUSR0000SA0","September 1, 2017","246.435","2.2"
"CUSR0000SA0","August 1, 2017","245.183","1.9"
"CUSR0000SA0","July 1, 2017","244.243","1.7"
"CUSR0000SA0","June 1, 2017","244.163","1.6"
"CUSR0000SA0","May 1, 2017","244.004","1.9"
"CUSR0000SA0","April 1, 2017","244.193","2.2"
"CUSR0000SA0","March 1, 2017","243.892","2.4"
"CUSR0000SA0","February 1, 2017","244.006","2.8"
"CUSR0000SA0","January 1, 2017","243.618","2.5"
"CUSR0000SA0","December 1, 2016","242.637","2.1"
"CUSR0000SA0","November 1, 2016","242.026","1.7"
"CUSR0000SA0","October 1, 2016","241.741","1.7"
"CUSR0000SA0","September 1, 2016","241.176","1.5"
"CUSR0000SA0","August 1, 2016","240.545","1.1"
"CUSR0000SA0","July 1, 2016","240.101","0.9"
"CUSR0000SA0","June 1, 2016","240.222","1.1"
"CUSR0000SA0","May 1, 2016","239.557","1.1"
"CUSR0000SA0","April 1, 2016","238.992","1.2"
"CUSR0000SA0","March 1, 2016","238.080","0.9"
"CUSR0000SA0","February 1, 2016","237.336","0.8"
"CUSR0000SA0","January 1, 2016","237.652","1.2"
"CUSR0000SA0","December 1, 2015","237.761","0.6"
"CUSR0000SA0","November 1, 2015","238.017","0.4"
"CUSR0000SA0","October 1, 2015","237.733","0.1"
"CUSR0000SA0","September 1, 2015","237.498","0.0"
"CUSR0000SA0","August 1, 2015","238.033","0.2"
"CUSR0000SA0","July 1, 2015","238.034","0.2"
"CUSR0000SA0","June 1, 2015","237.657","0.2"
"CUSR0000SA0","May 1, 2015","237.001","0.0"
"CUSR0000SA0","April 1, 2015","236.222","-0.1"
"CUSR0000SA0","March 1, 2015","235.976","0.0"
"CUSR0000SA0","February 1, 2015","235.342","-0.1"
"CUSR0000SA0","January 1, 2015","234.747","-0.2"
"CUSR0000SA0","December 1, 2014","236.252","0.7"
"CUSR0000SA0","November 1, 2014","236.983","1.2"
"CUSR0000SA0","October 1, 2014","237.430","1.6"
"CUSR0000SA0","September 1, 2014","237.477","1.7"
"CUSR0000SA0","August 1, 2014","237.460","1.7"
"CUSR0000SA0","July 1, 2014","237.498","2.0"
"CUSR0000SA0","June 1, 2014","237.231","2.1"
"CUSR0000SA0","May 1, 2014","236.918","2.2"
"CUSR0000SA0","April 1, 2014","236.468","2.0"
"CUSR0000SA0","March 1, 2014","236.028","1.6"
"CUSR0000SA0","February 1, 2014","235.547","1.1"
"CUSR0000SA0","January 1, 2014","235.288","1.6"
"CUSR0000SA0","December 1, 2013","234.719","1.5"
"CUSR0000SA0","November 1, 2013","234.100","1.2"
"CUSR0000SA0","October 1, 2013","233.669","0.9"
"CUSR0000SA0","September 1, 2013","233.544","1.1"
"CUSR0000SA0","August 1, 2013","233.456","1.5"
"CUSR0000SA0","July 1, 2013","232.900","1.9"
"CUSR0000SA0","June 1, 2013","232.445","1.7"
"CUSR0000SA0","May 1, 2013","231.893","1.4"
"CUSR0000SA0","April 1, 2013","231.797","1.1"
"CUSR0000SA0","March 1, 2013","232.282","1.5"
"CUSR0000SA0","February 1, 2013","232.937","2.0"
"CUSR0000SA0","January 1, 2013","231.679","1.7"
"CUSR0000SA0","December 1, 2012","231.221","1.8"
"CUSR0000SA0","November 1, 2012","231.249","1.8"
"CUSR0000SA0","October 1, 2012","231.638","2.2"
"CUSR0000SA0","September 1, 2012","231.015","1.9"
"CUSR0000SA0","August 1, 2012","229.918","1.7"
"CUSR0000SA0","July 1, 2012","228.590","1.4"
"CUSR0000SA0","June 1, 2012","228.524","1.7"
"CUSR0000SA0","May 1, 2012","228.713","1.7"
"CUSR0000SA0","April 1, 2012","229.187","2.3"
"CUSR0000SA0","March 1, 2012","228.807","2.6"
"CUSR0000SA0","February 1, 2012","228.329","2.9"
"CUSR0000SA0","January 1, 2012","227.842","3.0"
"CUSR0000SA0","December 1, 2011","227.223","3.1"
"CUSR0000SA0","November 1, 2011","227.169","3.5"
"CUSR0000SA0","October 1, 2011","226.750","3.5"
"CUSR0000SA0","September 1, 2011","226.597","3.8"
"CUSR0000SA0","August 1, 2011","226.106","3.8"
"CUSR0000SA0","July 1, 2011","225.395","3.6"
"CUSR0000SA0","June 1, 2011","224.806","3.5"
"CUSR0000SA0","May 1, 2011","224.806","3.5"
"CUSR0000SA0","April 1, 2011","224.093","3.1"
"CUSR0000SA0","March 1, 2011","223.046","2.6"
"CUSR0000SA0","February 1, 2011","221.898","2.1"
"CUSR0000SA0","January 1, 2011","221.187","1.7"
"CUSR0000SA0","December 1, 2010","220.472","1.4"
