+-------------+------+--------+--------+--------------------------------------------------+
|  series id  | year | period | value  |                    footnotes                     |
+-------------+------+--------+--------+--------------------------------------------------+
| LNS11000000 | 2022 |  M05   | 164376 |                                                  |
| LNS11000000 | 2022 |  M04   | 164046 |                                                  |
| LNS11000000 | 2022 |  M03   | 164409 |                                                  |
| LNS11000000 | 2022 |  M02   | 163991 |                                                  |
| LNS11000000 | 2022 |  M01   | 163687 | Data affected by changes in population controls. |
| LNS11000000 | 2021 |  M12   | 162294 |                                                  |
| LNS11000000 | 2021 |  M11   | 162126 |                                                  |
| LNS11000000 | 2021 |  M10   | 161610 |                                                  |
| LNS11000000 | 2021 |  M09   | 161471 |                                                  |
| LNS11000000 | 2021 |  M08   | 161505 |                                                  |
| LNS11000000 | 2021 |  M07   | 161375 |                                                  |
| LNS11000000 | 2021 |  M06   | 161114 |                                                  |
| LNS11000000 | 2021 |  M05   | 160801 |                                                  |
| LNS11000000 | 2021 |  M04   | 160978 |                                                  |
| LNS11000000 | 2021 |  M03   | 160631 |                                                  |
| LNS11000000 | 2021 |  M02   | 160359 |                                                  |
| LNS11000000 | 2021 |  M01   | 160184 | Data affected by changes in population controls. |
| LNS11000000 | 2020 |  M12   | 160671 |                                                  |
| LNS11000000 | 2020 |  M11   | 160539 |                                                  |
| LNS11000000 | 2020 |  M10   | 160834 |                                                  |
| LNS11000000 | 2020 |  M09   | 160153 |                                                  |
| LNS11000000 | 2020 |  M08   | 160707 |                                                  |
| LNS11000000 | 2020 |  M07   | 160015 |                                                  |
| LNS11000000 | 2020 |  M06   | 159834 |                                                  |
| LNS11000000 | 2020 |  M05   | 158122 |                                                  |
| LNS11000000 | 2020 |  M04   | 156358 |                                                  |
| LNS11000000 | 2020 |  M03   | 162764 |                                                  |
| LNS11000000 | 2020 |  M02   | 164583 |                                                  |
| LNS11000000 | 2020 |  M01   | 164479 | Data affected by changes in population controls. |
| LNS11000000 | 2019 |  M12   | 164633 |                                                  |
| LNS11000000 | 2019 |  M11   | 164434 |                                                  |
| LNS11000000 | 2019 |  M10   | 164336 |                                                  |
| LNS11000000 | 2019 |  M09   | 164015 |                                                  |
| LNS11000000 | 2019 |  M08   | 163774 |                                                  |
| LNS11000000 | 2019 |  M07   | 163472 |                                                  |
| LNS11000000 | 2019 |  M06   | 163029 |                                                  |
| LNS11000000 | 2019 |  M05   | 162803 |                                                  |
| LNS11000000 | 2019 |  M04   | 162642 |                                                  |
| LNS11000000 | 2019 |  M03   | 163035 |                                                  |
| LNS11000000 | 2019 |  M02   | 163114 |                                                  |
| LNS11000000 | 2019 |  M01   | 163072 | Data affected by changes in population controls. |
| LNS11000000 | 2018 |  M12   | 163146 |                                                  |
| LNS11000000 | 2018 |  M11   | 162738 |                                                  |
| LNS11000000 | 2018 |  M10   | 162525 |                                                  |
| LNS11000000 | 2018 |  M09   | 162035 |                                                  |
| LNS11000000 | 2018 |  M08   | 161679 |                                                  |
| LNS11000000 | 2018 |  M07   | 162288 |                                                  |
| LNS11000000 | 2018 |  M06   | 162180 |                                                  |
| LNS11000000 | 2018 |  M05   | 161882 |                                                  |
| LNS11000000 | 2018 |  M04   | 161809 |                                                  |
| LNS11000000 | 2018 |  M03   | 161760 |                                                  |
| LNS11000000 | 2018 |  M02   | 161846 |                                                  |
| LNS11000000 | 2018 |  M01   | 160998 | Data affected by changes in population controls. |
| LNS11000000 | 2017 |  M12   | 160535 |                                                  |
| LNS11000000 | 2017 |  M11   | 160579 |                                                  |
| LNS11000000 | 2017 |  M10   | 160309 |                                                  |
| LNS11000000 | 2017 |  M09   | 161140 |                                                  |
| LNS11000000 | 2017 |  M08   | 160586 |                                                  |
| LNS11000000 | 2017 |  M07   | 160462 |                                                  |
| LNS11000000 | 2017 |  M06   | 160192 |                                                  |
| LNS11000000 | 2017 |  M05   | 160068 |                                                  |
| LNS11000000 | 2017 |  M04   | 160345 |                                                  |
| LNS11000000 | 2017 |  M03   | 160137 |                                                  |
| LNS11000000 | 2017 |  M02   | 159859 |                                                  |
| LNS11000000 | 2017 |  M01   | 159620 | Data affected by changes in population controls. |
| LNS11000000 | 2016 |  M12   | 159678 |                                                  |
| LNS11000000 | 2016 |  M11   | 159506 |                                                  |
| LNS11000000 | 2016 |  M10   | 159605 |                                                  |
| LNS11000000 | 2016 |  M09   | 159714 |                                                  |
| LNS11000000 | 2016 |  M08   | 159562 |                                                  |
| LNS11000000 | 2016 |  M07   | 159194 |                                                  |
| LNS11000000 | 2016 |  M06   | 158967 |                                                  |
| LNS11000000 | 2016 |  M05   | 158784 |                                                  |
| LNS11000000 | 2016 |  M04   | 159141 |                                                  |
| LNS11000000 | 2016 |  M03   | 159179 |                                                  |
| LNS11000000 | 2016 |  M02   | 158640 |                                                  |
| LNS11000000 | 2016 |  M01   | 158280 | Data affected by changes in population controls. |
+-------------+------+--------+--------+--------------------------------------------------+
