+-------------+------+--------+--------+--------------------------------------------------+
|  series id  | year | period | value  |                    footnotes                     |
+-------------+------+--------+--------+--------------------------------------------------+
| LNS12000000 | 2022 |  M05   | 158426 |                                                  |
| LNS12000000 | 2022 |  M04   | 158105 |                                                  |
| LNS12000000 | 2022 |  M03   | 158458 |                                                  |
| LNS12000000 | 2022 |  M02   | 157722 |                                                  |
| LNS12000000 | 2022 |  M01   | 157174 | Data affected by changes in population controls. |
| LNS12000000 | 2021 |  M12   | 155975 |                                                  |
| LNS12000000 | 2021 |  M11   | 155324 |                                                  |
| LNS12000000 | 2021 |  M10   | 154234 |                                                  |
| LNS12000000 | 2021 |  M09   | 153806 |                                                  |
| LNS12000000 | 2021 |  M08   | 153167 |                                                  |
| LNS12000000 | 2021 |  M07   | 152704 |                                                  |
| LNS12000000 | 2021 |  M06   | 151612 |                                                  |
| LNS12000000 | 2021 |  M05   | 151550 |                                                  |
| LNS12000000 | 2021 |  M04   | 151259 |                                                  |
| LNS12000000 | 2021 |  M03   | 150940 |                                                  |
| LNS12000000 | 2021 |  M02   | 150367 |                                                  |
| LNS12000000 | 2021 |  M01   | 150004 | Data affected by changes in population controls. |
| LNS12000000 | 2020 |  M12   | 149883 |                                                  |
| LNS12000000 | 2020 |  M11   | 149761 |                                                  |
| LNS12000000 | 2020 |  M10   | 149719 |                                                  |
| LNS12000000 | 2020 |  M09   | 147569 |                                                  |
| LNS12000000 | 2020 |  M08   | 147176 |                                                  |
| LNS12000000 | 2020 |  M07   | 143727 |                                                  |
| LNS12000000 | 2020 |  M06   | 142218 |                                                  |
| LNS12000000 | 2020 |  M05   | 137182 |                                                  |
| LNS12000000 | 2020 |  M04   | 133320 |                                                  |
| LNS12000000 | 2020 |  M03   | 155599 |                                                  |
| LNS12000000 | 2020 |  M02   | 158866 |                                                  |
| LNS12000000 | 2020 |  M01   | 158653 | Data affected by changes in population controls. |
| LNS12000000 | 2019 |  M12   | 158772 |                                                  |
| LNS12000000 | 2019 |  M11   | 158504 |                                                  |
| LNS12000000 | 2019 |  M10   | 158356 |                                                  |
| LNS12000000 | 2019 |  M09   | 158249 |                                                  |
| LNS12000000 | 2019 |  M08   | 157780 |                                                  |
| LNS12000000 | 2019 |  M07   | 157488 |                                                  |
| LNS12000000 | 2019 |  M06   | 157123 |                                                  |
| LNS12000000 | 2019 |  M05   | 156868 |                                                  |
| LNS12000000 | 2019 |  M04   | 156744 |                                                  |
| LNS12000000 | 2019 |  M03   | 156869 |                                                  |
| LNS12000000 | 2019 |  M02   | 156992 |                                                  |
| LNS12000000 | 2019 |  M01   | 156614 | Data affected by changes in population controls. |
| LNS12000000 | 2018 |  M12   | 156767 |                                                  |
| LNS12000000 | 2018 |  M11   | 156606 |                                                  |
| LNS12000000 | 2018 |  M10   | 156294 |                                                  |
| LNS12000000 | 2018 |  M09   | 155970 |                                                  |
| LNS12000000 | 2018 |  M08   | 155512 |                                                  |
| LNS12000000 | 2018 |  M07   | 156115 |                                                  |
| LNS12000000 | 2018 |  M06   | 155734 |                                                  |
| LNS12000000 | 2018 |  M05   | 155694 |                                                  |
| LNS12000000 | 2018 |  M04   | 155362 |                                                  |
| LNS12000000 | 2018 |  M03   | 155303 |                                                  |
| LNS12000000 | 2018 |  M02   | 155259 |                                                  |
| LNS12000000 | 2018 |  M01   | 154493 | Data affected by changes in population controls. |
| LNS12000000 | 2017 |  M12   | 153904 |                                                  |
| LNS12000000 | 2017 |  M11   | 153805 |                                                  |
| LNS12000000 | 2017 |  M10   | 153609 |                                                  |
| LNS12000000 | 2017 |  M09   | 154286 |                                                  |
| LNS12000000 | 2017 |  M08   | 153503 |                                                  |
| LNS12000000 | 2017 |  M07   | 153569 |                                                  |
| LNS12000000 | 2017 |  M06   | 153318 |                                                  |
| LNS12000000 | 2017 |  M05   | 153069 |                                                  |
| LNS12000000 | 2017 |  M04   | 153255 |                                                  |
| LNS12000000 | 2017 |  M03   | 153065 |                                                  |
| LNS12000000 | 2017 |  M02   | 152480 |                                                  |
| LNS12000000 | 2017 |  M01   | 152152 | Data affected by changes in population controls. |
| LNS12000000 | 2016 |  M12   | 152157 |                                                  |
| LNS12000000 | 2016 |  M11   | 151954 |                                                  |
| LNS12000000 | 2016 |  M10   | 151793 |                                                  |
| LNS12000000 | 2016 |  M09   | 151761 |                                                  |
| LNS12000000 | 2016 |  M08   | 151779 |                                                  |
| LNS12000000 | 2016 |  M07   | 151554 |                                                  |
| LNS12000000 | 2016 |  M06   | 151223 |                                                  |
| LNS12000000 | 2016 |  M05   | 151132 |                                                  |
| LNS12000000 | 2016 |  M04   | 151074 |                                                  |
| LNS12000000 | 2016 |  M03   | 151218 |                                                  |
| LNS12000000 | 2016 |  M02   | 150939 |                                                  |
| LNS12000000 | 2016 |  M01   | 150653 | Data affected by changes in population controls. |
+-------------+------+--------+--------+--------------------------------------------------+
