,Data Series,Back Data,Feb 2022,Mar 2022,Apr 2022,May 2022,June 2022,July 2022
0,Labor Force Data,,,,,,,
1,Civilian Labor Force(1),,46.9,46.8,46.4,46.6,46.8,(p)46.9
2,Employment(1),,45.2,45.4,45.2,45.3,45.0,(p)45.1
3,Unemployment(1),,1.7,1.4,1.2,1.3,1.8,(p)1.7
4,Unemployment Rate(2),,3.7,3.0,2.5,2.9,3.9,(p)3.7
5,Nonfarm Wage and Salary Employment,,,,,,,
6,Total Nonfarm(3),,46.6,46.8,47.0,46.9,46.9,(p)46.8
7,12-month % change,,1.1,1.5,2.2,2.6,1.5,(p)1.1
8,"Mining, Logging, and Construction(3)",,1.1,1.1,1.1,1.1,1.2,(p)1.2
9,12-month % change,,0.0,0.0,0.0,0.0,9.1,(p)9.1
10,Manufacturing(3),,6.6,6.6,6.6,6.6,6.6,(p)6.6
11,12-month % change,,1.5,1.5,0.0,1.5,0.0,(p)0.0
12,"Trade, Transportation, and Utilities(3)",,9.3,9.3,9.3,9.2,9.1,(p)9.1
13,12-month % change,,4.5,4.5,5.7,4.5,3.4,(p)2.2
14,Information(3),,0.3,0.3,0.3,0.3,0.3,(p)0.3
15,12-month % change,,0.0,0.0,0.0,0.0,0.0,(p)0.0
16,Financial Activities(3),,1.3,1.3,1.3,1.3,1.3,(p)1.3
17,12-month % change,,-7.1,-7.1,0.0,0.0,0.0,(p)0.0
18,Professional and Business Services(3),,4.1,4.2,4.2,4.2,4.2,(p)4.2
19,12-month % change,,-4.7,-2.3,0.0,2.4,0.0,(p)2.4
20,Education and Health Services(3),,4.4,4.4,4.5,4.5,4.5,(p)4.5
21,12-month % change,,0.0,0.0,2.3,2.3,2.3,(p)0.0
22,Leisure and Hospitality(3),,4.9,5.0,5.1,5.0,5.0,(p)5.0
23,12-month % change,,6.5,8.7,10.9,8.7,4.2,(p)2.0
24,Other Services(3),,1.9,1.9,1.9,1.9,1.9,(p)1.9
25,12-month % change,,5.6,5.6,5.6,5.6,0.0,(p)0.0
26,Government(3),,12.7,12.7,12.7,12.8,12.8,(p)12.7
27,12-month % change,,-0.8,-0.8,-1.6,0.0,0.0,(p)0.0
28,"Footnotes (1) Number of persons, in thousands, not seasonally adjusted. (2) In percent, not seasonally adjusted. (3) Number of jobs, in thousands, not seasonally adjusted. See About the data. (p) Preliminary","Footnotes (1) Number of persons, in thousands, not seasonally adjusted. (2) In percent, not seasonally adjusted. (3) Number of jobs, in thousands, not seasonally adjusted. See About the data. (p) Preliminary","Footnotes (1) Number of persons, in thousands, not seasonally adjusted. (2) In percent, not seasonally adjusted. (3) Number of jobs, in thousands, not seasonally adjusted. See About the data. (p) Preliminary","Footnotes (1) Number of persons, in thousands, not seasonally adjusted. (2) In percent, not seasonally adjusted. (3) Number of jobs, in thousands, not seasonally adjusted. See About the data. (p) Preliminary","Footnotes (1) Number of persons, in thousands, not seasonally adjusted. (2) In percent, not seasonally adjusted. (3) Number of jobs, in thousands, not seasonally adjusted. See About the data. (p) Preliminary","Footnotes (1) Number of persons, in thousands, not seasonally adjusted. (2) In percent, not seasonally adjusted. (3) Number of jobs, in thousands, not seasonally adjusted. See About the data. (p) Preliminary","Footnotes (1) Number of persons, in thousands, not seasonally adjusted. (2) In percent, not seasonally adjusted. (3) Number of jobs, in thousands, not seasonally adjusted. See About the data. (p) Preliminary","Footnotes (1) Number of persons, in thousands, not seasonally adjusted. (2) In percent, not seasonally adjusted. (3) Number of jobs, in thousands, not seasonally adjusted. See About the data. (p) Preliminary"
