+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
+-------------+------+--------+-------+-----------+
| LNS14000000 | 2022 |  M05   |  3.6  |           |
| LNS14000000 | 2022 |  M04   |  3.6  |           |
| LNS14000000 | 2022 |  M03   |  3.6  |           |
| LNS14000000 | 2022 |  M02   |  3.8  |           |
| LNS14000000 | 2022 |  M01   |  4.0  |           |
| LNS14000000 | 2021 |  M12   |  3.9  |           |
| LNS14000000 | 2021 |  M11   |  4.2  |           |
| LNS14000000 | 2021 |  M10   |  4.6  |           |
| LNS14000000 | 2021 |  M09   |  4.7  |           |
| LNS14000000 | 2021 |  M08   |  5.2  |           |
| LNS14000000 | 2021 |  M07   |  5.4  |           |
| LNS14000000 | 2021 |  M06   |  5.9  |           |
| LNS14000000 | 2021 |  M05   |  5.8  |           |
| LNS14000000 | 2021 |  M04   |  6.0  |           |
| LNS14000000 | 2021 |  M03   |  6.0  |           |
| LNS14000000 | 2021 |  M02   |  6.2  |           |
| LNS14000000 | 2021 |  M01   |  6.4  |           |
| LNS14000000 | 2020 |  M12   |  6.7  |           |
| LNS14000000 | 2020 |  M11   |  6.7  |           |
| LNS14000000 | 2020 |  M10   |  6.9  |           |
| LNS14000000 | 2020 |  M09   |  7.9  |           |
| LNS14000000 | 2020 |  M08   |  8.4  |           |
| LNS14000000 | 2020 |  M07   |  10.2 |           |
| LNS14000000 | 2020 |  M06   |  11.0 |           |
| LNS14000000 | 2020 |  M05   |  13.2 |           |
| LNS14000000 | 2020 |  M04   |  14.7 |           |
| LNS14000000 | 2020 |  M03   |  4.4  |           |
| LNS14000000 | 2020 |  M02   |  3.5  |           |
| LNS14000000 | 2020 |  M01   |  3.5  |           |
| LNS14000000 | 2019 |  M12   |  3.6  |           |
| LNS14000000 | 2019 |  M11   |  3.6  |           |
| LNS14000000 | 2019 |  M10   |  3.6  |           |
| LNS14000000 | 2019 |  M09   |  3.5  |           |
| LNS14000000 | 2019 |  M08   |  3.7  |           |
| LNS14000000 | 2019 |  M07   |  3.7  |           |
| LNS14000000 | 2019 |  M06   |  3.6  |           |
| LNS14000000 | 2019 |  M05   |  3.6  |           |
| LNS14000000 | 2019 |  M04   |  3.6  |           |
| LNS14000000 | 2019 |  M03   |  3.8  |           |
| LNS14000000 | 2019 |  M02   |  3.8  |           |
| LNS14000000 | 2019 |  M01   |  4.0  |           |
| LNS14000000 | 2018 |  M12   |  3.9  |           |
| LNS14000000 | 2018 |  M11   |  3.8  |           |
| LNS14000000 | 2018 |  M10   |  3.8  |           |
| LNS14000000 | 2018 |  M09   |  3.7  |           |
| LNS14000000 | 2018 |  M08   |  3.8  |           |
| LNS14000000 | 2018 |  M07   |  3.8  |           |
| LNS14000000 | 2018 |  M06   |  4.0  |           |
| LNS14000000 | 2018 |  M05   |  3.8  |           |
| LNS14000000 | 2018 |  M04   |  4.0  |           |
| LNS14000000 | 2018 |  M03   |  4.0  |           |
| LNS14000000 | 2018 |  M02   |  4.1  |           |
| LNS14000000 | 2018 |  M01   |  4.0  |           |
| LNS14000000 | 2017 |  M12   |  4.1  |           |
| LNS14000000 | 2017 |  M11   |  4.2  |           |
| LNS14000000 | 2017 |  M10   |  4.2  |           |
| LNS14000000 | 2017 |  M09   |  4.3  |           |
| LNS14000000 | 2017 |  M08   |  4.4  |           |
| LNS14000000 | 2017 |  M07   |  4.3  |           |
| LNS14000000 | 2017 |  M06   |  4.3  |           |
| LNS14000000 | 2017 |  M05   |  4.4  |           |
| LNS14000000 | 2017 |  M04   |  4.4  |           |
| LNS14000000 | 2017 |  M03   |  4.4  |           |
| LNS14000000 | 2017 |  M02   |  4.6  |           |
| LNS14000000 | 2017 |  M01   |  4.7  |           |
| LNS14000000 | 2016 |  M12   |  4.7  |           |
| LNS14000000 | 2016 |  M11   |  4.7  |           |
| LNS14000000 | 2016 |  M10   |  4.9  |           |
| LNS14000000 | 2016 |  M09   |  5.0  |           |
| LNS14000000 | 2016 |  M08   |  4.9  |           |
| LNS14000000 | 2016 |  M07   |  4.8  |           |
| LNS14000000 | 2016 |  M06   |  4.9  |           |
| LNS14000000 | 2016 |  M05   |  4.8  |           |
| LNS14000000 | 2016 |  M04   |  5.1  |           |
| LNS14000000 | 2016 |  M03   |  5.0  |           |
| LNS14000000 | 2016 |  M02   |  4.9  |           |
| LNS14000000 | 2016 |  M01   |  4.8  |           |
+-------------+------+--------+-------+-----------+
