dates,covid19mobilitytrend_workplace
2020-02-15,5
2020-02-16,0
2020-02-17,4
2020-02-18,3
2020-02-19,4
2020-02-20,4
2020-02-21,-19
2020-02-22,-2
2020-02-23,2
2020-02-24,4
2020-02-25,1
2020-02-26,3
2020-02-27,4
2020-02-28,5
2020-02-29,8
2020-03-01,3
2020-03-02,5
2020-03-03,4
2020-03-04,7
2020-03-05,5
2020-03-06,5
2020-03-07,7
2020-03-08,6
2020-03-09,-12
2020-03-10,-44
2020-03-11,-5
2020-03-12,0
2020-03-13,0
2020-03-14,-6
2020-03-15,2
2020-03-16,-4
2020-03-17,-8
2020-03-18,-8
2020-03-19,-11
2020-03-20,-15
2020-03-21,-18
2020-03-22,-49
2020-03-23,-50
2020-03-24,-65
2020-03-25,-72
2020-03-26,-70
2020-03-27,-70
2020-03-28,-66
2020-03-29,-47
2020-03-30,-68
2020-03-31,-68
2020-04-01,-68
2020-04-02,-69
2020-04-03,-67
2020-04-04,-61
2020-04-05,-43
2020-04-06,-68
2020-04-07,-67
2020-04-08,-67
2020-04-09,-68
2020-04-10,-69
2020-04-11,-64
2020-04-12,-44
2020-04-13,-66
2020-04-14,-69
2020-04-15,-64
2020-04-16,-65
2020-04-17,-65
2020-04-18,-60
2020-04-19,-42
2020-04-20,-63
2020-04-21,-64
2020-04-22,-63
2020-04-23,-64
2020-04-24,-63
2020-04-25,-59
2020-04-26,-41
2020-04-27,-62
2020-04-28,-63
2020-04-29,-61
2020-04-30,-61
2020-05-01,-64
2020-05-02,-54
2020-05-03,-37
2020-05-04,-56
2020-05-05,-56
2020-05-06,-54
2020-05-07,-56
2020-05-08,-52
2020-05-09,-49
2020-05-10,-32
2020-05-11,-50
2020-05-12,-52
2020-05-13,-49
2020-05-14,-49
2020-05-15,-48
2020-05-16,-41
2020-05-17,-27
2020-05-18,-45
2020-05-19,-46
2020-05-20,-44
2020-05-21,-44
2020-05-22,-42
2020-05-23,-37
2020-05-24,-24
2020-05-25,-51
2020-05-26,-42
2020-05-27,-39
2020-05-28,-40
2020-05-29,-38
2020-05-30,-29
2020-05-31,-16
2020-06-01,-35
2020-06-02,-37
2020-06-03,-35
2020-06-04,-35
2020-06-05,-34
2020-06-06,-26
2020-06-07,-14
2020-06-08,-32
2020-06-09,-34
2020-06-10,-32
2020-06-11,-33
2020-06-12,-33
2020-06-13,-29
2020-06-14,-14
2020-06-15,-33
2020-06-16,-34
2020-06-17,-33
2020-06-18,-34
2020-06-19,-34
2020-06-20,-25
2020-06-21,-18
2020-06-22,-34
2020-06-23,-36
2020-06-24,-33
2020-06-25,-34
2020-06-26,-33
2020-06-27,-29
2020-06-28,-16
2020-06-29,-33
2020-06-30,-35
2020-07-01,-33
2020-07-02,-34
2020-07-03,-33
2020-07-04,-26
2020-07-05,-20
2020-07-06,-33
2020-07-07,-35
2020-07-08,-32
2020-07-09,-33
2020-07-10,-33
2020-07-11,-32
2020-07-12,-22
2020-07-13,-33
2020-07-14,-36
2020-07-15,-34
2020-07-16,-35
2020-07-17,-34
2020-07-18,-30
2020-07-19,-23
2020-07-20,-36
2020-07-21,-37
2020-07-22,-33
2020-07-23,-36
2020-07-24,-32
2020-07-25,-33
2020-07-26,-22
2020-07-27,-33
2020-07-28,-35
2020-07-29,-35
2020-07-30,-33
2020-07-31,-34
2020-08-01,-36
2020-08-02,-19
2020-08-03,-47
2020-08-04,-36
2020-08-05,-34
2020-08-06,-32
2020-08-07,-29
2020-08-08,-29
2020-08-09,-15
2020-08-10,-30
2020-08-11,-34
2020-08-12,-36
2020-08-13,-32
2020-08-14,-29
2020-08-15,-42
2020-08-16,-15
2020-08-17,-28
2020-08-18,-29
2020-08-19,-28
2020-08-20,-31
2020-08-21,-30
2020-08-22,-34
2020-08-23,-14
2020-08-24,-28
2020-08-25,-29
2020-08-26,-26
2020-08-27,-29
2020-08-28,-27
2020-08-29,-22
2020-08-30,-12
2020-08-31,-31
2020-09-01,-32
2020-09-02,-27
2020-09-03,-28
2020-09-04,-27
2020-09-05,-18
2020-09-06,-11
2020-09-07,-30
2020-09-08,-29
2020-09-09,-26
2020-09-10,-28
2020-09-11,-30
2020-09-12,-23
2020-09-13,-9
2020-09-14,-26
2020-09-15,-28
2020-09-16,-25
2020-09-17,-30
2020-09-18,-26
2020-09-19,-17
2020-09-20,-6
2020-09-21,-27
2020-09-22,-28
2020-09-23,-27
2020-09-24,-27
2020-09-25,-27
2020-09-26,-19
2020-09-27,-7
2020-09-28,-26
2020-09-29,-28
2020-09-30,-27
2020-10-01,-29
2020-10-02,-47
2020-10-03,-21
2020-10-04,-13
2020-10-05,-29
2020-10-06,-30
2020-10-07,-26
2020-10-08,-26
2020-10-09,-24
2020-10-10,-20
2020-10-11,-7
2020-10-12,-25
2020-10-13,-27
2020-10-14,-24
2020-10-15,-25
2020-10-16,-23
2020-10-17,-15
2020-10-18,-4
2020-10-19,-24
2020-10-20,-26
2020-10-21,-23
2020-10-22,-25
2020-10-23,-27
2020-10-24,-24
2020-10-25,-10
2020-10-26,-37
2020-10-27,-29
2020-10-28,-25
2020-10-29,-27
2020-10-30,-32
2020-10-31,-17
2020-11-01,-5
2020-11-02,-24
2020-11-03,-27
2020-11-04,-24
2020-11-05,-24
2020-11-06,-23
2020-11-07,-13
2020-11-08,-2
2020-11-09,-24
2020-11-10,-26
2020-11-11,-22
2020-11-12,-24
2020-11-13,-29
2020-11-14,-44
2020-11-15,-24
2020-11-16,-48
2020-11-17,-35
2020-11-18,-29
2020-11-19,-28
2020-11-20,-29
2020-11-21,-19
2020-11-22,-9
2020-11-23,-26
2020-11-24,-28
2020-11-25,-28
2020-11-26,-31
2020-11-27,-26
2020-11-28,-17
2020-11-29,-6
2020-11-30,-34
2020-12-01,-28
2020-12-02,-22
2020-12-03,-23
2020-12-04,-22
2020-12-05,-12
2020-12-06,-6
2020-12-07,-25
2020-12-08,-29
2020-12-09,-22
2020-12-10,-23
2020-12-11,-22
2020-12-12,-16
2020-12-13,-2
2020-12-14,-21
2020-12-15,-21
2020-12-16,-18
2020-12-17,-19
2020-12-18,-18
2020-12-19,-8
2020-12-20,0
2020-12-21,-18
2020-12-22,-21
2020-12-23,-16
2020-12-24,-19
2020-12-25,-36
2020-12-26,-14
2020-12-27,0
2020-12-28,-19
2020-12-29,-21
2020-12-30,-17
2020-12-31,-18
2021-01-01,-29
2021-01-02,-8
2021-01-03,0
2021-01-04,-16
2021-01-05,-19
2021-01-06,-14
2021-01-07,-15
2021-01-08,-14
2021-01-09,-10
2021-01-10,3
2021-01-11,-16
2021-01-12,-19
2021-01-13,-20
2021-01-14,-41
2021-01-15,-32
2021-01-16,-19
2021-01-17,-9
2021-01-18,-22
2021-01-19,-23
2021-01-20,-20
2021-01-21,-19
2021-01-22,-18
2021-01-23,-12
2021-01-24,-2
2021-01-25,-21
2021-01-26,-50
2021-01-27,-17
2021-01-28,-19
2021-01-29,-16
2021-01-30,-7
2021-01-31,-2
2021-02-01,-19
2021-02-02,-20
2021-02-03,-17
2021-02-04,-19
2021-02-05,-17
2021-02-06,-8
2021-02-07,-6
2021-02-08,-19
2021-02-09,-20
2021-02-10,-16
2021-02-11,-17
2021-02-12,-16
2021-02-13,-14
2021-02-14,-6
2021-02-15,-20
2021-02-16,-25
2021-02-17,-17
2021-02-18,-17
2021-02-19,-17
2021-02-20,-6
2021-02-21,-6
2021-02-22,-17
2021-02-23,-18
2021-02-24,-14
2021-02-25,-16
2021-02-26,-16
2021-02-27,-11
2021-02-28,-2
2021-03-01,-15
2021-03-02,-17
2021-03-03,-13
2021-03-04,-14
2021-03-05,-14
2021-03-06,-4
2021-03-07,-3
2021-03-08,-15
2021-03-09,-16
2021-03-10,-13
2021-03-11,-31
2021-03-12,-15
2021-03-13,-11
2021-03-14,-3
2021-03-15,-16
2021-03-16,-17
2021-03-17,-11
2021-03-18,-13
2021-03-19,-11
2021-03-20,-2
2021-03-21,-2
2021-03-22,-13
2021-03-23,-15
2021-03-24,-12
2021-03-25,-13
2021-03-26,-14
2021-03-27,-8
2021-03-28,-7
2021-03-29,-57
2021-03-30,-25
2021-03-31,-16
2021-04-01,-18
2021-04-02,-30
2021-04-03,-7
2021-04-04,-5
2021-04-05,-19
2021-04-06,-26
2021-04-07,-18
2021-04-08,-19
2021-04-09,-18
2021-04-10,-22
2021-04-11,-11
2021-04-12,-22
2021-04-13,-36
2021-04-14,-39
2021-04-15,-28
2021-04-16,-26
2021-04-17,-25
2021-04-18,-25
2021-04-19,-30
2021-04-20,-36
2021-04-21,-41
2021-04-22,-36
2021-04-23,-37
2021-04-24,-42
2021-04-25,-37
2021-04-26,-40
2021-04-27,-42
2021-04-28,-42
2021-04-29,-44
2021-04-30,-43
2021-05-01,-53
2021-05-02,-40
2021-05-03,-47
2021-05-04,-49
2021-05-05,-48
2021-05-06,-49
2021-05-07,-48
2021-05-08,-46
2021-05-09,-33
2021-05-10,-52
2021-05-11,-53
2021-05-12,-52
2021-05-13,-54
2021-05-14,-60
2021-05-15,-49
2021-05-16,-38
2021-05-17,-52
2021-05-18,-55
2021-05-19,-51
2021-05-20,-51
2021-05-21,-49
2021-05-22,-45
2021-05-23,-30
2021-05-24,-48
2021-05-25,-50
2021-05-26,-52
2021-05-27,-48
2021-05-28,-45
2021-05-29,-39
2021-05-30,-28
2021-05-31,-42
2021-06-01,-43
2021-06-02,-39
2021-06-03,-40
2021-06-04,-38
2021-06-05,-33
2021-06-06,-25
2021-06-07,-35
2021-06-08,-36
2021-06-09,-34
2021-06-10,-34
2021-06-11,-32
2021-06-12,-32
2021-06-13,-22
2021-06-14,-32
2021-06-15,-33
2021-06-16,-31
2021-06-17,-31
2021-06-18,-29
2021-06-19,-25
2021-06-20,-21
2021-06-21,-31
2021-06-22,-32
2021-06-23,-28
2021-06-24,-30
2021-06-25,-27
2021-06-26,-25
2021-06-27,-16
2021-06-28,-27
2021-06-29,-29
2021-06-30,-26
2021-07-01,-27
2021-07-02,-24
2021-07-03,-19
2021-07-04,-15
2021-07-05,-24
2021-07-06,-25
2021-07-07,-23
2021-07-08,-23
2021-07-09,-22
2021-07-10,-21
2021-07-11,-12
2021-07-12,-25
2021-07-13,-26
2021-07-14,-22
2021-07-15,-22
2021-07-16,-21
2021-07-17,-14
2021-07-18,-10
2021-07-19,-24
2021-07-20,-24
2021-07-21,-37
2021-07-22,-23
2021-07-23,-20
2021-07-24,-17
2021-07-25,-9
2021-07-26,-19
2021-07-27,-21
2021-07-28,-18
2021-07-29,-18
2021-07-30,-16
2021-07-31,-9
2021-08-01,-7
2021-08-02,-18
2021-08-03,-20
2021-08-04,-16
2021-08-05,-16
2021-08-06,-15
2021-08-07,-7
2021-08-08,-6
2021-08-09,-16
2021-08-10,-17
2021-08-11,-14
2021-08-12,-15
2021-08-13,-14
2021-08-14,-11
2021-08-15,-4
2021-08-16,-18
2021-08-17,-17
2021-08-18,-12
2021-08-19,-16
2021-08-20,-25
2021-08-21,-9
2021-08-22,-17
2021-08-23,-20
2021-08-24,-17
2021-08-25,-13
2021-08-26,-14
2021-08-27,-12
2021-08-28,-6
2021-08-29,0
2021-08-30,-28
2021-08-31,-18
2021-09-01,-13
2021-09-02,-12
2021-09-03,-10
2021-09-04,0
2021-09-05,1
2021-09-06,-12
2021-09-07,-14
2021-09-08,-10
2021-09-09,-12
2021-09-10,-29
2021-09-11,-12
2021-09-12,0
2021-09-13,-14
2021-09-14,-15
2021-09-15,-11
2021-09-16,-14
2021-09-17,-13
2021-09-18,-1
2021-09-19,-1
2021-09-20,-12
2021-09-21,-13
2021-09-22,-7
2021-09-23,-8
2021-09-24,-7
2021-09-25,-1
2021-09-26,4
2021-09-27,-14
2021-09-28,-11
2021-09-29,-7
2021-09-30,-7
2021-10-01,-6
2021-10-02,-24
2021-10-03,5
2021-10-04,-7
2021-10-05,-9
2021-10-06,-10
2021-10-07,-8
2021-10-08,-5
2021-10-09,-3
2021-10-10,8
2021-10-11,-9
2021-10-12,-12
2021-10-13,-13
2021-10-14,-23
2021-10-15,-45
2021-10-16,-9
2021-10-17,4
2021-10-18,-11
2021-10-19,-23
2021-10-20,-11
2021-10-21,-6
2021-10-22,-4
2021-10-23,2
2021-10-24,7
2021-10-25,-5
2021-10-26,-7
2021-10-27,-3
2021-10-28,-4
2021-10-29,-2
2021-10-30,8
2021-10-31,18
2021-11-01,-10
2021-11-02,-11
2021-11-03,-16
2021-11-04,-50
2021-11-05,-46
2021-11-06,-29
2021-11-07,-6
2021-11-08,-16
2021-11-09,-13
2021-11-10,-14
2021-11-11,-13
2021-11-12,-8
2021-11-13,-5
2021-11-14,3
2021-11-15,-10
2021-11-16,-9
2021-11-17,-5
2021-11-18,-7
2021-11-19,-20
2021-11-20,1
2021-11-21,2
2021-11-22,-8
2021-11-23,-7
2021-11-24,-4
2021-11-25,-5
2021-11-26,-4
2021-11-27,1
2021-11-28,5
2021-11-29,-7
2021-11-30,-7
2021-12-01,-4
2021-12-02,-4
2021-12-03,-1
2021-12-04,8
2021-12-05,6
2021-12-06,-4
2021-12-07,-3
2021-12-08,1
2021-12-09,1
2021-12-10,3
2021-12-11,5
2021-12-12,11
2021-12-13,0
2021-12-14,0
2021-12-15,5
2021-12-16,3
2021-12-17,5
2021-12-18,15
2021-12-19,14
2021-12-20,4
2021-12-21,3
2021-12-22,7
2021-12-23,5
2021-12-24,2
2021-12-25,-12
2021-12-26,13
2021-12-27,-1
2021-12-28,-2
2021-12-29,1
2021-12-30,0
2021-12-31,-1
2022-01-01,-7
2022-01-02,12
2022-01-03,4
2022-01-04,2
2022-01-05,4
2022-01-06,3
2022-01-07,3
2022-01-08,-2
2022-01-09,7
2022-01-10,-1
2022-01-11,-4
2022-01-12,-2
2022-01-13,-6
2022-01-14,-24
2022-01-15,-13
2022-01-16,1
2022-01-17,-6
2022-01-18,-7
2022-01-19,-2
2022-01-20,-3
2022-01-21,-1
2022-01-22,2
2022-01-23,5
2022-01-24,-2
2022-01-25,-4
2022-01-26,-36
2022-01-27,0
2022-01-28,3
2022-01-29,16
2022-01-30,20
2022-01-31,3
2022-02-01,1
2022-02-02,5
2022-02-03,3
2022-02-04,3
2022-02-05,10
2022-02-06,14
2022-02-07,1
2022-02-08,2
2022-02-09,5
2022-02-10,1
2022-02-11,5
2022-02-12,9
2022-02-13,19
2022-02-14,3
